model,RMSE_Ts_full,RMSE_Tr_full,RMSE_H_full,RMSE_q_full,RMSE_Ts_measured_nodes,RMSE_Tr_measured_nodes,RMSE_supply_measured_C,RMSE_return_measured_C,RMSE_load_or_return_proxy,heat_load_consistency_error_percent,heat_loss_error_percent,energy_balance_residual,thermal_residual_mean,hydraulic_residual_mean,boundary_residual_mean,thermal_delay_error,inference_time_ms,loss_mode,architecture,training_time_s,parameter_count,ablation
Proposed PI-GNN-GRU-v3 full_physics,0.34738531708717346,1.619755506515503,5.75282096862793,0.01259205024689436,0.37260329723358154,1.5146409273147583,0.37260329723358154,1.5146409273147583,1.5146409273147583,3.237903594970703,1.0574349296970116,2.851713447438303,0.034817107021808624,4.2113823890686035,0.3154795467853546,0.26443761587142944,72.57159164873883,physics,pignn_v3,112.0506166999694,94600,full_physics
Proposed PI-GNN-GRU-v3 no_thermal_residual,0.3553727865219116,1.4606369733810425,5.148252964019775,0.020030435174703598,0.36950498819351196,1.3621714115142822,0.36950498819351196,1.3621714115142822,1.3621714115142822,7.968589782714844,0.8951226785051072,2.949523106521046,0.05156995356082916,3.7554678916931152,0.30533143877983093,0.2765187919139862,59.6604166397204,physics,pignn_v3,104.63974749995396,94600,no_thermal_residual
Proposed PI-GNN-GRU-v3 no_hydraulic_residual,0.3604694902896881,1.667894959449768,6.865545749664307,0.015680717304348946,0.37484708428382874,1.5985263586044312,0.37484708428382874,1.5985263586044312,1.5985263586044312,4.3213324546813965,1.1237723029922264,2.4456422248763117,0.04899267852306366,5.081345081329346,0.31405970454216003,0.2699756622314453,70.91360828295971,physics,pignn_v3,122.0857484000735,94600,no_hydraulic_residual
Proposed PI-GNN-GRU-v3 no_boundary_loss,0.3640247583389282,1.3583518266677856,4.964266777038574,0.014551043510437012,0.37656304240226746,1.3632850646972656,0.37656304240226746,1.3632850646972656,1.3632850646972656,4.5911865234375,0.8077521082012956,1.4037426672231956,0.030917342752218246,3.5616347789764404,0.32091233134269714,0.27276599407196045,73.5217000474222,physics,pignn_v3,103.65982710011303,94600,no_boundary_loss
Proposed PI-GNN-GRU-v3 no_energy_residual,0.3835219442844391,1.4660406112670898,5.067097187042236,0.017766278237104416,0.4201134145259857,1.3912913799285889,0.4201134145259857,1.3912913799285889,1.3912913799285889,4.624476909637451,0.9467335388756376,4.220454219193553,0.0442715622484684,3.5040383338928223,0.36730384826660156,0.2640019357204437,54.586216690950096,physics,pignn_v3,88.2108230998274,94600,no_energy_residual
Proposed PI-GNN-GRU-v3 no_sensor_consistency_loss,0.33377906680107117,1.507452130317688,3.8489482402801514,0.01391814649105072,0.3501904010772705,1.4684849977493286,0.3501904010772705,1.4684849977493286,1.4684849977493286,3.532075881958008,0.8681008670931387,2.2281866777513386,0.06979899108409882,2.640146017074585,0.2057543247938156,0.3267681896686554,99.21111670943598,physics,pignn_v3,106.98486290010624,94600,no_sensor_consistency_loss
Proposed PI-GNN-GRU-v3 no_smoothness_loss,0.3685988783836365,1.5131959915161133,6.077887058258057,0.012322585098445415,0.37927982211112976,1.4748579263687134,0.37927982211112976,1.4748579263687134,1.4748579263687134,3.600067377090454,0.9367404334660046,1.7612175833964023,0.03225960582494736,4.435739040374756,0.30516618490219116,0.29081302881240845,64.59497499357288,physics,pignn_v3,105.36368130007759,94600,no_smoothness_loss
Proposed PI-GNN-GRU-v3 no_graph_topology,0.35501059889793396,1.4093124866485596,4.106367588043213,0.016263488680124283,0.37734466791152954,1.3557065725326538,0.37734466791152954,1.3557065725326538,1.3557065725326538,5.624096870422363,0.8398695262386084,1.62479408477685,0.03015941008925438,2.8202569484710693,0.32555443048477173,0.2651987671852112,69.64327501676355,physics,pignn_v3_no_graph,102.65970760001801,94600,no_graph_topology
Proposed PI-GNN-GRU-v3 no_temporal_gru,0.41063758730888367,1.4826112985610962,5.610535621643066,0.019770679995417595,0.3976297378540039,1.4867562055587769,0.3976297378540039,1.4867562055587769,1.4867562055587769,3.017911434173584,0.8901669166273514,3.8151220528584218,0.0841897577047348,4.064381122589111,0.29983770847320557,0.31747356057167053,56.595741654746234,physics,pignn_v3_no_temporal,92.57553349994123,94600,no_temporal_gru
Proposed PI-GNN-GRU-v3 no_interpolation_residual_connection,0.34242531657218933,1.5248162746429443,7.33991003036499,0.014323762618005276,0.3489329516887665,1.5468753576278687,0.3489329516887665,1.5468753576278687,1.5468753576278687,3.2790071964263916,0.923953437712253,3.926630072364564,0.05832311138510704,5.6169753074646,0.21281157433986664,0.3064952790737152,81.15375829705347,physics,pignn_v3_no_interp,99.16946509992704,94600,no_interpolation_residual_connection
