score,threshold_quantile,threshold_value,case,detection_rate_percent,false_alarm_rate_percent,precision,recall,F1,detection_delay_min,state_type,safe_claim
thermal_score,90,2.806030291546852,normal_operation,10.073260073260073,10.073260073260073,0.0,,,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,90,2.806030291546852,return_sensor_bias_plus_1C,0.0,10.223048327137546,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,90,2.806030291546852,return_sensor_bias_plus_2C,0.0,10.223048327137546,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,90,2.806030291546852,outlet_sensor_dropout,0.0,10.223048327137546,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,90,2.806030291546852,heat_loss_coefficient_plus_20pct,0.0,10.223048327137546,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,90,2.806030291546852,friction_factor_plus_20pct,0.0,10.223048327137546,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,90,2.806030291546852,combined_monitoring_stress,31.25,10.223048327137546,0.043478260869565216,0.3125,0.07633587786259542,15.0,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,95,3.0402664719546153,normal_operation,5.0366300366300365,5.0366300366300365,0.0,,,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,95,3.0402664719546153,return_sensor_bias_plus_1C,0.0,5.111524163568773,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,95,3.0402664719546153,return_sensor_bias_plus_2C,0.0,5.111524163568773,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,95,3.0402664719546153,outlet_sensor_dropout,0.0,5.111524163568773,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,95,3.0402664719546153,heat_loss_coefficient_plus_20pct,0.0,5.111524163568773,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,95,3.0402664719546153,friction_factor_plus_20pct,0.0,5.111524163568773,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,95,3.0402664719546153,combined_monitoring_stress,0.0,5.111524163568773,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,99,3.495555695944906,normal_operation,1.0073260073260073,1.0073260073260073,0.0,,,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,99,3.495555695944906,return_sensor_bias_plus_1C,0.0,1.0223048327137547,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,99,3.495555695944906,return_sensor_bias_plus_2C,0.0,1.0223048327137547,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,99,3.495555695944906,outlet_sensor_dropout,0.0,1.0223048327137547,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
thermal_score,99,3.495555695944906,heat_loss_coefficient_plus_20pct,0.0,1.0223048327137547,0.0,0.0,0.0,,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,"Threshold sweep reports sensitivity/false-alarm tradeoffs for controlled perturbations, not field fault validation."
