step,measured_boundary_heat_load_kw,simulator_delivered_heat_kw,pignn_v3_delivered_heat_kw,pignn_v3_energy_residual_kw,state_type
0,76887.0390625,77294.98955727358,78227.99870532914,-6958.411110874433,calibrated_simulator
1,76186.5703125,76517.68368285387,76814.25730855437,-6174.165589028615,calibrated_simulator
2,74111.7109375,75492.87210169274,75507.34278071705,-6498.60033388784,calibrated_simulator
3,75600.234375,74178.81492377384,74955.94140177203,-4421.755997674735,calibrated_simulator
4,75317.7890625,75084.89079382621,75230.82909899784,-5042.5511002335425,calibrated_simulator
5,75038.171875,75126.70594096855,75425.26317632133,-5462.402711709584,calibrated_simulator
6,76964.6875,75060.72793237986,75598.27459320634,-1771.1801293901917,calibrated_simulator
7,74991.875,76774.80441571497,76366.87108059852,-6138.717175549769,calibrated_simulator
8,74135.6875,74521.75394012779,74946.48726279999,-5891.320041433743,calibrated_simulator
9,74065.0625,73697.44025902855,74369.7043410153,-4167.319818265312,calibrated_simulator
10,73976.1328125,73746.34072271043,74278.96727281426,-4497.111905557283,calibrated_simulator
11,73221.1015625,73595.36210027797,74063.16863319268,-5234.359998008068,calibrated_simulator
12,76186.5703125,76517.68368285387,77573.19754468634,-5833.91194988492,calibrated_simulator
13,74111.7109375,75492.87210169274,75349.93694934656,-5674.43613085315,calibrated_simulator
14,75600.234375,74178.81492377384,74735.43124169036,-3984.609940359683,calibrated_simulator
15,75317.7890625,75084.89079382621,75030.03765300788,-4648.271071831071,calibrated_simulator
16,75038.171875,75126.70594096855,75243.77840420279,-5328.3802756369305,calibrated_simulator
17,76964.6875,75060.72793237986,75429.08120253847,-1514.2263787069728,calibrated_simulator
18,74991.875,76774.80441571497,76219.07638052423,-6141.610293223749,calibrated_simulator
19,74135.6875,74521.75394012779,74798.31881595774,-5859.934397025591,calibrated_simulator
20,74065.0625,73697.44025902855,74221.40850877561,-4106.622805737688,calibrated_simulator
21,73976.1328125,73746.34072271043,74135.10178494155,-4452.613242627021,calibrated_simulator
22,73221.1015625,73595.36210027797,73924.59188488054,-5208.294082625765,calibrated_simulator
23,73055.375,73028.01720468566,73475.89603295448,-5234.134619643276,calibrated_simulator
24,74111.7109375,75492.87210169274,75388.83001435468,-4812.809096406277,calibrated_simulator
25,75600.234375,74178.81492377384,74388.75527532914,-4202.487247522915,calibrated_simulator
26,75317.7890625,75084.89079382621,74722.54351532664,-4485.505289619231,calibrated_simulator
27,75038.171875,75126.70594096855,74979.46852733237,-5308.668702553212,calibrated_simulator
28,76964.6875,75060.72793237986,75219.55874523245,-1387.883069431198,calibrated_simulator
29,74991.875,76774.80441571497,76033.35883853628,-6219.584941023823,calibrated_simulator
30,74135.6875,74521.75394012779,74608.54503517502,-5877.071949586798,calibrated_simulator
31,74065.0625,73697.44025902855,74032.63359401062,-4089.3031662523945,calibrated_simulator
32,73976.1328125,73746.34072271043,73952.50107200684,-4433.904648789611,calibrated_simulator
33,73221.1015625,73595.36210027797,73746.81217627302,-5186.707152144369,calibrated_simulator
34,73055.375,73028.01720468566,73300.5465586491,-5188.179313124777,calibrated_simulator
35,76082.359375,74351.09162576719,74421.8459227672,-881.5794443962131,calibrated_simulator
36,75600.234375,74178.81492377384,75797.15462426074,-5250.37787828633,calibrated_simulator
37,75317.7890625,75084.89079382621,75121.38679060053,-4546.2576765822705,calibrated_simulator
38,75038.171875,75126.70594096855,75192.06696209975,-5400.3132147772085,calibrated_simulator
