horizon_h,estimator,RMSE_C,MAE_C,bias_C,RMSE_change_vs_persistence_percent,test_samples
1,persistence,1.4295924586175979,0.9801796074370477,0.00027645458447540317,0.0,14986
1,daily persistence,3.7555268306401945,2.652509639627616,0.005921259514613306,162.6991215574649,14986
1,Sonderborg-trained ridge,1.6500949700380079,1.303329280337489,0.36991200825147613,15.424151833707475,14986
1,Flensburg local-history ridge,1.322486646451866,0.9361862436318995,0.016339561707385163,-7.492052124372709,14986
6,persistence,3.496100989500061,2.558010048747809,0.0006617568741007363,0.0,14971
6,daily persistence,4.334967665594437,3.0874819967252005,0.006070803225301916,23.99434909385535,14971
6,Sonderborg-trained ridge,5.738580887528416,4.880605855997102,0.4976070931279653,64.1423089539821,14971
6,Flensburg local-history ridge,2.9507678549302354,2.176769188482367,0.12184984816040575,-15.59832328092467,14971
24,persistence,3.6802204596189956,2.592869463844142,0.004806440282726438,0.0,14928
24,daily persistence,4.5128344139509595,3.1710276024343553,0.008069131503617023,22.624023844978094,14928
24,Sonderborg-trained ridge,7.018519401028636,4.847239510096341,-4.140650485410252,90.70921098447582,14928
24,Flensburg local-history ridge,3.3250601745695825,2.374806618447119,0.21822695982297396,-9.650516564058828,14928
