model,seed,adaptation,RMSE_C,MAE_C,bias_C,raw_RMSE_C,RMSE_reduction_vs_raw_percent,readout_slope,readout_intercept_C,training_unique_timestamps,test_unique_timestamps,train_test_overlap,current_return_measurement_used_at_test,internal_simulator_sensor_values_used_at_test,state_type,safe_claim
GRU-MSE,11,raw frozen checkpoint,1.085967004419978,0.9377307832573886,-0.7656639588839388,1.085967004419978,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
GRU-MSE,11,training-only offset,1.196051747595633,0.9566027794699635,0.9151266284900096,1.085967004419978,-10.137024672720313,,1.6807905873739457,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
GRU-MSE,11,training-only affine readout,0.907907142229469,0.7963895135882474,0.7289868425716014,1.085967004419978,16.396433912429227,0.348977994766952,27.880857055269665,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Transformer-MSE,11,raw frozen checkpoint,2.063866086968559,1.8804555848000046,-1.8804555848000046,2.063866086968559,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Transformer-MSE,11,training-only offset,1.2707198793644532,1.1305312864369563,0.9440863272384721,2.063866086968559,38.43011969682065,,2.8245419120384794,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Transformer-MSE,11,training-only affine readout,0.9182342992475956,0.8436609037146184,0.7257999981169182,2.063866086968559,55.50901751594196,0.30676133323331206,29.93070490944711,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 accuracy_mode,11,raw frozen checkpoint,8.544483180250655,8.52760728639937,-8.52760728639937,8.544483180250655,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 accuracy_mode,11,training-only offset,0.848122302707631,0.7727536212500107,0.6566617499255875,8.544483180250655,90.07403625455143,,9.184269036324956,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 accuracy_mode,11,training-only affine readout,1.024618512842273,0.8990995256539077,0.7212826901982691,8.544483180250655,88.00842027273772,3.3537495528962973,-67.87993693868943,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 balanced_mode,11,raw frozen checkpoint,6.221602413479689,6.207883584011629,-6.207883584011629,6.221602413479689,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 balanced_mode,11,training-only offset,0.5879827222403929,0.5058877482718604,0.418575779134436,6.221602413479689,90.54933627763687,,6.626459363146065,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
