model,adaptation,mean_RMSE_C,std_RMSE_C,mean_MAE_C,mean_RMSE_reduction_percent,n_seeds
Measured-return persistence,none,0.13394618485401177,,0.09674037317545997,,0
Proposed PI-GNN-GRU-v3 balanced_mode,training-only affine readout,0.6452056776882154,0.11016934530896004,0.5239922293657377,88.70208476441424,5
Proposed PI-GNN-GRU-v3 balanced_mode,training-only offset,0.6743885428940211,0.09231752804642189,0.5669654275929344,88.25162303059626,5
Proposed PI-GNN-GRU-v3 accuracy_mode,training-only offset,0.7217079438089062,0.19163832810551798,0.6260116873051389,91.10325890159527,5
Proposed PI-GNN-GRU-v3 accuracy_mode,training-only affine readout,0.793841611276685,0.2950749536188536,0.6762983965717252,90.19173015727334,5
GRU-MSE,training-only affine readout,0.859548376154233,0.04342424850738944,0.7548285347726661,50.42611742279054,5
Transformer-MSE,training-only affine readout,0.8880104480158242,0.057960002103096125,0.8093810730465828,69.09565862577679,5
GRU-MSE,training-only offset,1.1149150179595861,0.10107460916856247,0.9130545028657014,35.60202853234318,5
Transformer-MSE,training-only offset,1.3446543069020618,0.15743714329316982,1.1770345620317493,53.48992270220681,5
GRU-MSE,raw frozen checkpoint,1.903030505653198,0.529308897552899,1.7740906440739224,0.0,5
Transformer-MSE,raw frozen checkpoint,3.1541779857659202,0.9379170385835677,2.9604139123432938,0.0,5
Proposed PI-GNN-GRU-v3 balanced_mode,raw frozen checkpoint,5.863359296383284,0.6491105454670995,5.843693845257353,0.0,5
Proposed PI-GNN-GRU-v3 accuracy_mode,raw frozen checkpoint,8.194063697081724,0.6389693680443634,8.178410210936537,0.0,5
