model,metric,single_run_mean,block_length_steps,block_length_hours,bootstrap_resamples,bootstrap_seed,source_window_rows,unique_timestamp_count,continuous_segment_count,duplicate_window_rows_collapsed,ci95_low,ci95_high,state_type,safe_claim
GRU-MSE,RMSE_Ts_unique_timestamp_block_mean,0.26082055452906594,12,3.0,200,2026,1092,102,1,990,0.21156888440253246,0.30796865335645796,calibrated_simulator,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
GRU-MSE,RMSE_Tr_unique_timestamp_block_mean,1.3232340546603034,12,3.0,200,2026,1092,102,1,990,0.9852208220903894,1.8225798171558918,calibrated_simulator,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
GRU-MSE,RMSE_H_unique_timestamp_block_mean,3.2979319348310048,12,3.0,200,2026,1092,102,1,990,2.7819812707024227,4.026218201369679,simulator_assisted_hidden_state,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
GRU-MSE,RMSE_q_unique_timestamp_block_mean,0.012585759438043614,12,3.0,200,2026,1092,102,1,990,0.009758957812831755,0.015230563795364367,simulator_assisted_hidden_state,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
Transformer-MSE,RMSE_Ts_unique_timestamp_block_mean,0.3702674680651464,12,3.0,200,2026,1092,102,1,990,0.29427975841713705,0.461454027949163,calibrated_simulator,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
Transformer-MSE,RMSE_Tr_unique_timestamp_block_mean,1.2557439013275624,12,3.0,200,2026,1092,102,1,990,1.0167552124223769,1.7768102739654743,calibrated_simulator,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
Transformer-MSE,RMSE_H_unique_timestamp_block_mean,2.5327109478867156,12,3.0,200,2026,1092,102,1,990,1.9574221775827223,3.4732703210216544,simulator_assisted_hidden_state,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
Transformer-MSE,RMSE_q_unique_timestamp_block_mean,0.010288135194080698,12,3.0,200,2026,1092,102,1,990,0.007928817310934626,0.013908036917537876,simulator_assisted_hidden_state,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
PI-GNN-GRU-v3 accuracy,RMSE_Ts_unique_timestamp_block_mean,0.2518192585628071,12,3.0,200,2026,1092,102,1,990,0.20627958717784564,0.3159146684671876,calibrated_simulator,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
PI-GNN-GRU-v3 accuracy,RMSE_Tr_unique_timestamp_block_mean,0.9806027279383883,12,3.0,200,2026,1092,102,1,990,0.6753471837228211,1.4077265321433463,calibrated_simulator,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
PI-GNN-GRU-v3 accuracy,RMSE_H_unique_timestamp_block_mean,1.9383882705760311,12,3.0,200,2026,1092,102,1,990,1.5868136072085857,2.363294816941901,simulator_assisted_hidden_state,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
PI-GNN-GRU-v3 accuracy,RMSE_q_unique_timestamp_block_mean,0.0065756525923601145,12,3.0,200,2026,1092,102,1,990,0.005334468321378468,0.008474008349070316,simulator_assisted_hidden_state,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
PI-GNN-GRU-v3 balanced,RMSE_Ts_unique_timestamp_block_mean,0.26281793583543306,12,3.0,200,2026,1092,102,1,990,0.20993386726003388,0.32966202661860544,calibrated_simulator,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
PI-GNN-GRU-v3 balanced,RMSE_Tr_unique_timestamp_block_mean,1.2740373843792683,12,3.0,200,2026,1092,102,1,990,0.9518503392649694,1.7664507162325565,calibrated_simulator,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
PI-GNN-GRU-v3 balanced,RMSE_H_unique_timestamp_block_mean,3.6265288646948433,12,3.0,200,2026,1092,102,1,990,2.921166165634494,4.434032352574812,simulator_assisted_hidden_state,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
PI-GNN-GRU-v3 balanced,RMSE_q_unique_timestamp_block_mean,0.011078187299176161,12,3.0,200,2026,1092,102,1,990,0.00947658405484239,0.012863157364205121,simulator_assisted_hidden_state,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
Covariance-conditioned Gaussian observer,RMSE_Ts_unique_timestamp_block_mean,0.08308010797057452,12,3.0,200,2026,1092,102,1,990,0.06608579415107058,0.10193343026908293,calibrated_simulator,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
Covariance-conditioned Gaussian observer,RMSE_Tr_unique_timestamp_block_mean,0.12156626050821127,12,3.0,200,2026,1092,102,1,990,0.08976079269393139,0.17536802471609558,calibrated_simulator,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
Covariance-conditioned Gaussian observer,RMSE_H_unique_timestamp_block_mean,0.000624582088079205,12,3.0,200,2026,1092,102,1,990,0.00042760701577667444,0.0008800256976925342,simulator_assisted_hidden_state,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
Covariance-conditioned Gaussian observer,RMSE_q_unique_timestamp_block_mean,2.559266281499979e-06,12,3.0,200,2026,1092,102,1,990,1.6679365182721278e-06,3.899311223311237e-06,simulator_assisted_hidden_state,paired moving-block bootstrap over unique chronological held-out timestamps; not seed-level repeatability
