model,RMSE_Ts_full,RMSE_Tr_full,RMSE_H_full,RMSE_q_full,RMSE_Ts_measured_nodes,RMSE_Tr_measured_nodes,RMSE_supply_measured_C,RMSE_return_measured_C,RMSE_load_or_return_proxy,heat_load_consistency_error_percent,heat_loss_error_percent,energy_balance_residual,thermal_residual_mean,hydraulic_residual_mean,boundary_residual_mean,thermal_delay_error,inference_time_ms,loss_mode,architecture,training_time_s,parameter_count,window,regime,seed,window_start_utc,window_end_utc,window_timestamps,epochs_cap,batch_size,sensor_layout,normalization,state_type
GRU-MSE,0.21880461275577545,1.3128278255462646,4.643855094909668,0.009565819054841995,0.20906926691532135,1.284628987312317,0.20906926691532135,1.284628987312317,1.284628987312317,2.003187656402588,0.8941895792029327,3.9951580883405122,0.05383923277258873,3.3880255222320557,0.1150185838341713,0.20508015155792236,16.90799999050796,mse,gru,12.493152700131759,74580,winter_2016,winter/high-load,11,2016-01-02 08:30:00+00:00,2016-01-07 16:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Transformer-MSE,0.24447417259216309,1.3668867349624634,5.775140762329102,0.01642030104994774,0.24088510870933533,1.3723270893096924,0.24088510870933533,1.3723270893096924,1.3723270893096924,2.1432931423187256,1.0008865196777288,1.4457855350909594,0.05125902220606804,4.399216651916504,0.09250340610742569,0.23548370599746704,27.397449943237007,mse,transformer,13.499369899975136,57812,winter_2016,winter/high-load,11,2016-01-02 08:30:00+00:00,2016-01-07 16:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 accuracy_mode,0.28624314069747925,1.3088889122009277,7.666460037231445,0.02105289325118065,0.3921591639518738,1.2692259550094604,0.3921591639518738,1.2692259550094604,1.2692259550094604,4.027719497680664,0.9188308858832187,1.904371278978389,0.03670180216431618,5.398446559906006,0.3185488283634186,0.30880722403526306,159.25689996220171,physics,pignn_v3,182.15169270010665,94600,winter_2016,winter/high-load,11,2016-01-02 08:30:00+00:00,2016-01-07 16:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 balanced_mode,0.341574490070343,1.2735172510147095,7.914783954620361,0.018406670540571213,0.4054137170314789,1.266728162765503,0.4054137170314789,1.266728162765503,1.266728162765503,5.7632598876953125,0.8939303786515189,1.2375272669249626,0.019502004608511925,5.767870903015137,0.33333465456962585,0.318048894405365,197.24345009308308,physics,pignn_v3,170.9217570000328,94600,winter_2016,winter/high-load,11,2016-01-02 08:30:00+00:00,2016-01-07 16:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
GRU-MSE,0.22602581977844238,1.2837709188461304,4.612446308135986,0.010974043980240822,0.22945910692214966,1.2902933359146118,0.22945910692214966,1.2902933359146118,1.2902933359146118,2.3205623626708984,0.8412949438907867,3.583771186434001,0.054142165929079056,3.4102842807769775,0.12415015697479248,0.21580703556537628,8.926600101403892,mse,gru,13.403789900010452,74580,winter_2016,winter/high-load,22,2016-01-02 08:30:00+00:00,2016-01-07 16:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Transformer-MSE,0.24119804799556732,1.4620821475982666,6.141238212585449,0.01643042266368866,0.24112118780612946,1.4553382396697998,0.24112118780612946,1.4553382396697998,1.4553382396697998,1.821047306060791,1.0458219436046965,1.2487097938978464,0.0459025539457798,4.762229919433594,0.10168822854757309,0.2352745682001114,10.048950091004372,mse,transformer,11.047192399855703,57812,winter_2016,winter/high-load,22,2016-01-02 08:30:00+00:00,2016-01-07 16:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 accuracy_mode,0.2647923529148102,1.3062223196029663,7.828128814697266,0.01900303363800049,0.35843995213508606,1.274687647819519,0.35843995213508606,1.274687647819519,1.274687647819519,4.745248794555664,0.8882929060008167,2.384326540045436,0.04738682135939598,5.685347557067871,0.2810026705265045,0.3103844225406647,177.67450003884733,physics,pignn_v3,134.5179626001045,94600,winter_2016,winter/high-load,22,2016-01-02 08:30:00+00:00,2016-01-07 16:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 balanced_mode,0.328909307718277,1.259524941444397,7.93860387802124,0.0180137250572443,0.41319963335990906,1.249308705329895,0.41319963335990906,1.249308705329895,1.249308705329895,5.577033519744873,0.8815219550547618,1.2023463210389986,0.028497086837887764,5.897787570953369,0.3315826654434204,0.3324843645095825,90.93294991180301,physics,pignn_v3,111.37018270022236,94600,winter_2016,winter/high-load,22,2016-01-02 08:30:00+00:00,2016-01-07 16:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
GRU-MSE,0.2207936942577362,1.371219515800476,4.24313497543335,0.01142270676791668,0.22224287688732147,1.41026771068573,0.22224287688732147,1.41026771068573,1.41026771068573,1.507298231124878,0.9140012879348628,3.3867406882755717,0.045184776186943054,3.2732760906219482,0.147311270236969,0.21783560514450073,29.918600106611848,mse,gru,8.510354500031099,74580,winter_2016,winter/high-load,33,2016-01-02 08:30:00+00:00,2016-01-07 16:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Transformer-MSE,0.23895089328289032,1.441158652305603,5.628115177154541,0.017726678401231766,0.2356901317834854,1.431784749031067,0.2356901317834854,1.431784749031067,1.431784749031067,1.2769278287887573,1.0111501569672559,2.4425789151390243,0.05270379036664963,4.122836112976074,0.10044895112514496,0.2292625457048416,168.07515011169016,mse,transformer,17.736002799822018,57812,winter_2016,winter/high-load,33,2016-01-02 08:30:00+00:00,2016-01-07 16:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
