window,regime,model,n_seeds,RMSE_Ts_full_mean,RMSE_Ts_full_std,RMSE_Tr_full_mean,RMSE_Tr_full_std,heat_loss_error_percent_mean,heat_loss_error_percent_std,energy_balance_residual_mean,energy_balance_residual_std,boundary_residual_mean_mean,boundary_residual_mean_std
late_winter_2018,later-year high-load,GRU-MSE,3,0.6743514736493429,0.031128305428770646,1.923723816871643,0.18979661166776912,1.0296401870011216,0.15024129144324744,6.094512858879491,0.9209163963603526,0.47809211413065594,0.1790216049312198
late_winter_2018,later-year high-load,Proposed PI-GNN-GRU-v3 accuracy_mode,3,0.5626261035601298,0.1370128105286868,2.396798054377238,0.061261606708343144,1.630469486772351,0.20773238716893447,4.990780991272687,1.0227503135280556,0.48705989122390747,0.11292716628457107
late_winter_2018,later-year high-load,Proposed PI-GNN-GRU-v3 balanced_mode,3,0.5169388155142466,0.07107231302902932,2.297936201095581,0.08201986918908086,1.5381873769138998,0.14391870898249767,2.676935731938508,0.7822117285555493,0.39775922894477844,0.13621917264426986
late_winter_2018,later-year high-load,Transformer-MSE,3,0.537258138259252,0.06301793089699244,1.956229607264201,0.145030879702383,1.2289736469407853,0.18830865445079256,3.2998518770635084,0.41763241616249663,0.19650039076805112,0.026751789229724446
shoulder_2016,late-autumn/heating-onset,GRU-MSE,3,0.4706624448299408,0.015844347015735227,1.308683156967163,0.018651433114308533,1.0895223120784532,0.04150594227936373,4.640451080858743,0.4745250529827344,0.2648225923379262,0.023501166440157026
shoulder_2016,late-autumn/heating-onset,Proposed PI-GNN-GRU-v3 accuracy_mode,3,0.5205300649007162,0.03519030268550537,1.4037095705668132,0.09935107452593163,1.3226787480949544,0.07299249882776793,4.441875378383937,0.3675016325315037,0.17807268102963758,0.05591053076741047
shoulder_2016,late-autumn/heating-onset,Proposed PI-GNN-GRU-v3 balanced_mode,3,0.5333831310272217,0.050666570102250875,1.3315050601959229,0.14941166356746158,1.260074155850291,0.19457355262956277,4.1227008792458815,0.43525584390324784,0.09155386189619692,0.014366508974703802
shoulder_2016,late-autumn/heating-onset,Transformer-MSE,3,0.36122146248817444,0.00978288372822535,1.2603691816329956,0.032908825907713525,0.8914585934913971,0.07909178665263415,3.4622457117000383,0.40497312298800353,0.17655106385548902,0.027170594974037305
winter_2016,winter/high-load,GRU-MSE,3,0.2218747089306513,0.003730000302727434,1.322606086730957,0.04453678335003491,0.8831619370095275,0.037586696919564754,3.6552233210166953,0.31043838169234605,0.12882667034864423,0.016646523113828308
winter_2016,winter/high-load,Proposed PI-GNN-GRU-v3 accuracy_mode,3,0.2753423750400543,0.010729694305678076,1.3359733025232952,0.049238931931433236,0.8970916984656897,0.018940232838393113,2.316639425010838,0.3829377604117154,0.30126990874608356,0.018950620784818743
winter_2016,winter/high-load,Proposed PI-GNN-GRU-v3 balanced_mode,3,0.3341962893803914,0.006586471647973768,1.2594685554504395,0.014076973257808505,0.8833259563383944,0.00982740055973002,1.1175946042473106,0.1781325240864773,0.3171224196751912,0.0265775877192739
winter_2016,winter/high-load,Transformer-MSE,3,0.24154103795687354,0.0027775682110845893,1.4233758449554443,0.05002712089122114,1.0192862067498938,0.02354664647934488,1.7123580813759434,0.6400207508260497,0.09821352859338117,0.0049837813190284075
