epoch,model,train_loss,val_loss,selection_loss,selection_metric,state_mse,real_sensor_mse,thermal_residual,hydraulic_residual,boundary_residual,energy_residual,smoothness,total_loss
1,mw_late_winter_2018_seed_11_GRU-MSE,0.8217235939069227,2.5847971439361572,2.5847971439361572,normalized_state_mse,0.8217235939069227,0.0,0.0,0.0,0.0,0.0,0.0,0.8217235939069227
2,mw_late_winter_2018_seed_11_GRU-MSE,0.5508645854213021,2.2630602518717446,2.2630602518717446,normalized_state_mse,0.5508645854213021,0.0,0.0,0.0,0.0,0.0,0.0,0.5508645854213021
3,mw_late_winter_2018_seed_11_GRU-MSE,0.40468245202844794,2.0181353092193604,2.0181353092193604,normalized_state_mse,0.40468245202844794,0.0,0.0,0.0,0.0,0.0,0.0,0.40468245202844794
4,mw_late_winter_2018_seed_11_GRU-MSE,0.3168661797588522,1.9478637377421062,1.9478637377421062,normalized_state_mse,0.3168661797588522,0.0,0.0,0.0,0.0,0.0,0.0,0.3168661797588522
5,mw_late_winter_2018_seed_11_GRU-MSE,0.2770417874509638,1.8352000912030537,1.8352000912030537,normalized_state_mse,0.2770417874509638,0.0,0.0,0.0,0.0,0.0,0.0,0.2770417874509638
6,mw_late_winter_2018_seed_11_GRU-MSE,0.2525135563178496,1.738096793492635,1.738096793492635,normalized_state_mse,0.2525135563178496,0.0,0.0,0.0,0.0,0.0,0.0,0.2525135563178496
7,mw_late_winter_2018_seed_11_GRU-MSE,0.2345857254483483,1.6414504249890645,1.6414504249890645,normalized_state_mse,0.2345857254483483,0.0,0.0,0.0,0.0,0.0,0.0,0.2345857254483483
8,mw_late_winter_2018_seed_11_GRU-MSE,0.22124847227876837,1.520678460597992,1.520678460597992,normalized_state_mse,0.22124847227876837,0.0,0.0,0.0,0.0,0.0,0.0,0.22124847227876837
9,mw_late_winter_2018_seed_11_GRU-MSE,0.20842116664756427,1.4714808662732441,1.4714808662732441,normalized_state_mse,0.20842116664756427,0.0,0.0,0.0,0.0,0.0,0.0,0.20842116664756427
10,mw_late_winter_2018_seed_11_GRU-MSE,0.19683232632550327,1.3605068524678547,1.3605068524678547,normalized_state_mse,0.19683232632550327,0.0,0.0,0.0,0.0,0.0,0.0,0.19683232632550327
11,mw_late_winter_2018_seed_11_GRU-MSE,0.18655458092689514,1.3267009655634563,1.3267009655634563,normalized_state_mse,0.18655458092689514,0.0,0.0,0.0,0.0,0.0,0.0,0.18655458092689514
12,mw_late_winter_2018_seed_11_GRU-MSE,0.1802637590603395,1.2437566916147869,1.2437566916147869,normalized_state_mse,0.1802637590603395,0.0,0.0,0.0,0.0,0.0,0.0,0.1802637590603395
