epoch,model,train_loss,val_loss,selection_loss,selection_metric,state_mse,real_sensor_mse,thermal_residual,hydraulic_residual,boundary_residual,energy_residual,smoothness,total_loss
1,mw_late_winter_2018_seed_22_Transformer-MSE,0.8793976035985079,2.609822233517965,2.609822233517965,normalized_state_mse,0.8793976035985079,0.0,0.0,0.0,0.0,0.0,0.0,0.8793976035985079
2,mw_late_winter_2018_seed_22_Transformer-MSE,0.5151633457704023,2.3294196923573813,2.3294196923573813,normalized_state_mse,0.5151633457704023,0.0,0.0,0.0,0.0,0.0,0.0,0.5151633457704023
3,mw_late_winter_2018_seed_22_Transformer-MSE,0.38027554750442505,2.1079917351404824,2.1079917351404824,normalized_state_mse,0.38027554750442505,0.0,0.0,0.0,0.0,0.0,0.0,0.38027554750442505
4,mw_late_winter_2018_seed_22_Transformer-MSE,0.31966275654055853,1.928511142730713,1.928511142730713,normalized_state_mse,0.31966275654055853,0.0,0.0,0.0,0.0,0.0,0.0,0.31966275654055853
5,mw_late_winter_2018_seed_22_Transformer-MSE,0.2949777028777383,1.7846104900042217,1.7846104900042217,normalized_state_mse,0.2949777028777383,0.0,0.0,0.0,0.0,0.0,0.0,0.2949777028777383
6,mw_late_winter_2018_seed_22_Transformer-MSE,0.2766537788239392,1.6603005131085713,1.6603005131085713,normalized_state_mse,0.2766537788239392,0.0,0.0,0.0,0.0,0.0,0.0,0.2766537788239392
7,mw_late_winter_2018_seed_22_Transformer-MSE,0.26511961763555353,1.6136061946551006,1.6136061946551006,normalized_state_mse,0.26511961763555353,0.0,0.0,0.0,0.0,0.0,0.0,0.26511961763555353
8,mw_late_winter_2018_seed_22_Transformer-MSE,0.2514533996582031,1.507401446501414,1.507401446501414,normalized_state_mse,0.2514533996582031,0.0,0.0,0.0,0.0,0.0,0.0,0.2514533996582031
9,mw_late_winter_2018_seed_22_Transformer-MSE,0.24082816730846057,1.460562785466512,1.460562785466512,normalized_state_mse,0.24082816730846057,0.0,0.0,0.0,0.0,0.0,0.0,0.24082816730846057
10,mw_late_winter_2018_seed_22_Transformer-MSE,0.23287840458479794,1.462863604227702,1.462863604227702,normalized_state_mse,0.23287840458479794,0.0,0.0,0.0,0.0,0.0,0.0,0.23287840458479794
11,mw_late_winter_2018_seed_22_Transformer-MSE,0.22698017954826355,1.361989974975586,1.361989974975586,normalized_state_mse,0.22698017954826355,0.0,0.0,0.0,0.0,0.0,0.0,0.22698017954826355
12,mw_late_winter_2018_seed_22_Transformer-MSE,0.22332237389954654,1.2582229773203533,1.2582229773203533,normalized_state_mse,0.22332237389954654,0.0,0.0,0.0,0.0,0.0,0.0,0.22332237389954654
