epoch,model,train_loss,val_loss,selection_loss,selection_metric,state_mse,real_sensor_mse,thermal_residual,hydraulic_residual,boundary_residual,energy_residual,smoothness,total_loss
1,mw_shoulder_2016_seed_22_Transformer-MSE,0.8622051856734536,0.44601207971572876,0.44601207971572876,normalized_state_mse,0.8622051856734536,0.0,0.0,0.0,0.0,0.0,0.0,0.8622051856734536
2,mw_shoulder_2016_seed_22_Transformer-MSE,0.5064787051894448,0.23883802692095438,0.23883802692095438,normalized_state_mse,0.5064787051894448,0.0,0.0,0.0,0.0,0.0,0.0,0.5064787051894448
3,mw_shoulder_2016_seed_22_Transformer-MSE,0.38162960518490185,0.14303982754548392,0.14303982754548392,normalized_state_mse,0.38162960518490185,0.0,0.0,0.0,0.0,0.0,0.0,0.38162960518490185
4,mw_shoulder_2016_seed_22_Transformer-MSE,0.3182135413993489,0.12200773507356644,0.12200773507356644,normalized_state_mse,0.3182135413993489,0.0,0.0,0.0,0.0,0.0,0.0,0.3182135413993489
5,mw_shoulder_2016_seed_22_Transformer-MSE,0.29104477844455023,0.09977659086386363,0.09977659086386363,normalized_state_mse,0.29104477844455023,0.0,0.0,0.0,0.0,0.0,0.0,0.29104477844455023
6,mw_shoulder_2016_seed_22_Transformer-MSE,0.2756101976741444,0.1005458136399587,0.1005458136399587,normalized_state_mse,0.2756101976741444,0.0,0.0,0.0,0.0,0.0,0.0,0.2756101976741444
7,mw_shoulder_2016_seed_22_Transformer-MSE,0.2663570303808559,0.10825484246015549,0.10825484246015549,normalized_state_mse,0.2663570303808559,0.0,0.0,0.0,0.0,0.0,0.0,0.2663570303808559
8,mw_shoulder_2016_seed_22_Transformer-MSE,0.25936964425173675,0.11623174697160721,0.11623174697160721,normalized_state_mse,0.25936964425173675,0.0,0.0,0.0,0.0,0.0,0.0,0.25936964425173675
9,mw_shoulder_2016_seed_22_Transformer-MSE,0.2527940422296524,0.09884727994600932,0.09884727994600932,normalized_state_mse,0.2527940422296524,0.0,0.0,0.0,0.0,0.0,0.0,0.2527940422296524
10,mw_shoulder_2016_seed_22_Transformer-MSE,0.24578048559752377,0.10327056050300598,0.10327056050300598,normalized_state_mse,0.24578048559752377,0.0,0.0,0.0,0.0,0.0,0.0,0.24578048559752377
11,mw_shoulder_2016_seed_22_Transformer-MSE,0.2386763258413835,0.08754699677228928,0.08754699677228928,normalized_state_mse,0.2386763258413835,0.0,0.0,0.0,0.0,0.0,0.0,0.2386763258413835
12,mw_shoulder_2016_seed_22_Transformer-MSE,0.23584176870909604,0.08889253934224446,0.08889253934224446,normalized_state_mse,0.23584176870909604,0.0,0.0,0.0,0.0,0.0,0.0,0.23584176870909604
