epoch,model,train_loss,val_loss,selection_loss,selection_metric,state_mse,real_sensor_mse,thermal_residual,hydraulic_residual,boundary_residual,energy_residual,smoothness,total_loss
1,mw_shoulder_2016_seed_33_GRU-MSE,0.8497239459644664,0.563706636428833,0.563706636428833,normalized_state_mse,0.8497239459644664,0.0,0.0,0.0,0.0,0.0,0.0,0.8497239459644664
2,mw_shoulder_2016_seed_33_GRU-MSE,0.5569526932456277,0.3288442740837733,0.3288442740837733,normalized_state_mse,0.5569526932456277,0.0,0.0,0.0,0.0,0.0,0.0,0.5569526932456277
3,mw_shoulder_2016_seed_33_GRU-MSE,0.4071595045653256,0.21100163459777832,0.21100163459777832,normalized_state_mse,0.4071595045653256,0.0,0.0,0.0,0.0,0.0,0.0,0.4071595045653256
4,mw_shoulder_2016_seed_33_GRU-MSE,0.32467213543978607,0.16189157466093698,0.16189157466093698,normalized_state_mse,0.32467213543978607,0.0,0.0,0.0,0.0,0.0,0.0,0.32467213543978607
5,mw_shoulder_2016_seed_33_GRU-MSE,0.28252816877581854,0.13533722857634226,0.13533722857634226,normalized_state_mse,0.28252816877581854,0.0,0.0,0.0,0.0,0.0,0.0,0.28252816877581854
6,mw_shoulder_2016_seed_33_GRU-MSE,0.2576571147550236,0.12741083651781082,0.12741083651781082,normalized_state_mse,0.2576571147550236,0.0,0.0,0.0,0.0,0.0,0.0,0.2576571147550236
7,mw_shoulder_2016_seed_33_GRU-MSE,0.23929563977501608,0.11473870774110158,0.11473870774110158,normalized_state_mse,0.23929563977501608,0.0,0.0,0.0,0.0,0.0,0.0,0.23929563977501608
8,mw_shoulder_2016_seed_33_GRU-MSE,0.22669401629404587,0.10176095863183339,0.10176095863183339,normalized_state_mse,0.22669401629404587,0.0,0.0,0.0,0.0,0.0,0.0,0.22669401629404587
9,mw_shoulder_2016_seed_33_GRU-MSE,0.21740910681811246,0.11015591273705165,0.11015591273705165,normalized_state_mse,0.21740910681811246,0.0,0.0,0.0,0.0,0.0,0.0,0.21740910681811246
10,mw_shoulder_2016_seed_33_GRU-MSE,0.20832130719314923,0.09670254091421764,0.09670254091421764,normalized_state_mse,0.20832130719314923,0.0,0.0,0.0,0.0,0.0,0.0,0.20832130719314923
11,mw_shoulder_2016_seed_33_GRU-MSE,0.1990677700801329,0.09134214123090108,0.09134214123090108,normalized_state_mse,0.1990677700801329,0.0,0.0,0.0,0.0,0.0,0.0,0.1990677700801329
12,mw_shoulder_2016_seed_33_GRU-MSE,0.1912934441458095,0.08582773059606552,0.08582773059606552,normalized_state_mse,0.1912934441458095,0.0,0.0,0.0,0.0,0.0,0.0,0.1912934441458095
