epoch,model,train_loss,val_loss,selection_loss,selection_metric,state_mse,real_sensor_mse,thermal_residual,hydraulic_residual,boundary_residual,energy_residual,smoothness,total_loss
1,mw_winter_2016_seed_22_Transformer-MSE,0.9032414013689215,0.19576159864664078,0.19576159864664078,normalized_state_mse,0.9032414013689215,0.0,0.0,0.0,0.0,0.0,0.0,0.9032414013689215
2,mw_winter_2016_seed_22_Transformer-MSE,0.5872126628052105,0.1508976419766744,0.1508976419766744,normalized_state_mse,0.5872126628052105,0.0,0.0,0.0,0.0,0.0,0.0,0.5872126628052105
3,mw_winter_2016_seed_22_Transformer-MSE,0.477586800401861,0.16186056534449259,0.16186056534449259,normalized_state_mse,0.477586800401861,0.0,0.0,0.0,0.0,0.0,0.0,0.477586800401861
4,mw_winter_2016_seed_22_Transformer-MSE,0.41278548674149945,0.1665628453095754,0.1665628453095754,normalized_state_mse,0.41278548674149945,0.0,0.0,0.0,0.0,0.0,0.0,0.41278548674149945
5,mw_winter_2016_seed_22_Transformer-MSE,0.3911717642437328,0.15126859893401465,0.15126859893401465,normalized_state_mse,0.3911717642437328,0.0,0.0,0.0,0.0,0.0,0.0,0.3911717642437328
6,mw_winter_2016_seed_22_Transformer-MSE,0.3703660450198434,0.16969321171442667,0.16969321171442667,normalized_state_mse,0.3703660450198434,0.0,0.0,0.0,0.0,0.0,0.0,0.3703660450198434
7,mw_winter_2016_seed_22_Transformer-MSE,0.35396111282435333,0.14592360580960909,0.14592360580960909,normalized_state_mse,0.35396111282435333,0.0,0.0,0.0,0.0,0.0,0.0,0.35396111282435333
8,mw_winter_2016_seed_22_Transformer-MSE,0.3480681926012039,0.15397263566652933,0.15397263566652933,normalized_state_mse,0.3480681926012039,0.0,0.0,0.0,0.0,0.0,0.0,0.3480681926012039
9,mw_winter_2016_seed_22_Transformer-MSE,0.3352747288617221,0.14072172592083612,0.14072172592083612,normalized_state_mse,0.3352747288617221,0.0,0.0,0.0,0.0,0.0,0.0,0.3352747288617221
10,mw_winter_2016_seed_22_Transformer-MSE,0.32410261170430615,0.1762511432170868,0.1762511432170868,normalized_state_mse,0.32410261170430615,0.0,0.0,0.0,0.0,0.0,0.0,0.32410261170430615
11,mw_winter_2016_seed_22_Transformer-MSE,0.31998790258711035,0.1490048331518968,0.1490048331518968,normalized_state_mse,0.31998790258711035,0.0,0.0,0.0,0.0,0.0,0.0,0.31998790258711035
12,mw_winter_2016_seed_22_Transformer-MSE,0.3169817640022798,0.1768300086259842,0.1768300086259842,normalized_state_mse,0.3169817640022798,0.0,0.0,0.0,0.0,0.0,0.0,0.3169817640022798
