model,RMSE_Ts_full,RMSE_Tr_full,RMSE_H_full,RMSE_q_full,RMSE_Ts_measured_nodes,RMSE_Tr_measured_nodes,RMSE_supply_measured_C,RMSE_return_measured_C,RMSE_load_or_return_proxy,heat_load_consistency_error_percent,heat_loss_error_percent,energy_balance_residual,thermal_residual_mean,hydraulic_residual_mean,boundary_residual_mean,thermal_delay_error,inference_time_ms,base_model,condition,sensor_layout,noise_std_fraction
GRU-MSE nominal_five_sensors,0.3087949752807617,1.6639587879180908,4.0563201904296875,0.015290389768779278,0.30975615978240967,1.6741914749145508,0.30975615978240967,1.6741914749145508,1.6741914749145508,2.615581512451172,1.0021850385649298,6.837255749334889,0.07095544785261154,3.0516555309295654,0.13562269508838654,0.3009662926197052,4.626533288198213,GRU-MSE,nominal_five_sensors,S4_five_sensors,0.0
Transformer-MSE nominal_five_sensors,0.47766780853271484,1.5446743965148926,3.6231837272644043,0.015644496306777,0.47646039724349976,1.5435234308242798,0.47646039724349976,1.5435234308242798,1.5435234308242798,2.450747013092041,0.9774817937273281,4.853616288642408,0.10913880169391632,2.5079524517059326,0.044835444539785385,0.5235269665718079,15.1711250267302,Transformer-MSE,nominal_five_sensors,S4_five_sensors,0.0
Proposed PI-GNN-GRU-v3 balanced_mode nominal_five_sensors,0.3172427713871002,1.5323377847671509,3.8601362705230713,0.013587471097707748,0.32083407044410706,1.4478319883346558,0.32083407044410706,1.4478319883346558,1.4478319883346558,3.8467068672180176,1.018015947693263,1.9022898165460482,0.05217158421874046,2.64176869392395,0.175089493393898,0.271054208278656,83.09607496873166,Proposed PI-GNN-GRU-v3 balanced_mode,nominal_five_sensors,S4_five_sensors,0.0
Proposed PI-GNN-GRU-v3 accuracy_mode nominal_five_sensors,0.30973249673843384,1.2393840551376343,2.28723406791687,0.010715309530496597,0.3328401446342468,0.7330604195594788,0.3328401446342468,0.7330604195594788,0.7330604195594788,2.3112130165100098,0.7054364068384766,4.325099810075428,0.06662734597921371,1.530489206314087,0.1264134645462036,0.3206670880317688,67.99699162365869,Proposed PI-GNN-GRU-v3 accuracy_mode,nominal_five_sensors,S4_five_sensors,0.0
GRU-MSE noise_1_percent,0.308786541223526,1.663923978805542,4.057680606842041,0.015293876640498638,0.30945613980293274,1.674498438835144,0.30945613980293274,1.674498438835144,1.674498438835144,2.6144988536834717,1.0021734783607743,6.83660295691628,0.07095108181238174,3.052128314971924,0.1356511414051056,0.3009335696697235,3.736083337571472,GRU-MSE,noise_1_percent,S4_five_sensors,0.01
Transformer-MSE noise_1_percent,0.4775552451610565,1.5443575382232666,3.622520685195923,0.01563846692442894,0.4761533737182617,1.5435914993286133,0.4761533737182617,1.5435914993286133,1.5435914993286133,2.4496145248413086,0.9769672982460312,4.854320214715315,0.10916002094745636,2.5067625045776367,0.044814448803663254,0.5233702659606934,5.426983310220142,Transformer-MSE,noise_1_percent,S4_five_sensors,0.01
Proposed PI-GNN-GRU-v3 balanced_mode noise_1_percent,0.31722378730773926,1.532378911972046,3.8710379600524902,0.013586166314780712,0.32043007016181946,1.4482760429382324,0.32043007016181946,1.4482760429382324,1.4482760429382324,3.8483731746673584,1.0180053158959186,1.9052735044845788,0.05216991528868675,2.661168336868286,0.17507056891918182,0.27101171016693115,42.36958334998538,Proposed PI-GNN-GRU-v3 balanced_mode,noise_1_percent,S4_five_sensors,0.01
Proposed PI-GNN-GRU-v3 accuracy_mode noise_1_percent,0.3096834421157837,1.2394018173217773,2.301300525665283,0.010711237788200378,0.3324655294418335,0.7338772416114807,0.3324655294418335,0.7338772416114807,0.7338772416114807,2.309195041656494,0.7054287407050011,4.326751889753388,0.0666372999548912,1.5502943992614746,0.1263992041349411,0.32034939527511597,45.78441666672006,Proposed PI-GNN-GRU-v3 accuracy_mode,noise_1_percent,S4_five_sensors,0.01
GRU-MSE noise_3_percent,0.3087703287601471,1.6638555526733398,4.060555934906006,0.015301291830837727,0.3092222213745117,1.6757420301437378,0.3092222213745117,1.6757420301437378,1.6757420301437378,2.612328052520752,1.0021529999374574,6.835571913378467,0.07094793021678925,3.0531957149505615,0.135710671544075,0.3008696734905243,3.7869249936193228,GRU-MSE,noise_3_percent,S4_five_sensors,0.03
Transformer-MSE noise_3_percent,0.4773337244987488,1.5437270402908325,3.621293067932129,0.015626830980181694,0.47578057646751404,1.5444116592407227,0.47578057646751404,1.5444116592407227,1.5444116592407227,2.447432041168213,0.9759370330729529,4.858078083769228,0.10921177268028259,2.5044875144958496,0.044772710651159286,0.5230599045753479,3.181391667264203,Transformer-MSE,noise_3_percent,S4_five_sensors,0.03
Proposed PI-GNN-GRU-v3 balanced_mode noise_3_percent,0.317186564207077,1.5324667692184448,3.9196250438690186,0.013588004745543003,0.31997576355934143,1.4497209787368774,0.31997576355934143,1.4497209787368774,1.4497209787368774,3.8519158363342285,1.0179836005617011,1.9149057726120449,0.0521710067987442,2.7525241374969482,0.1750379204750061,0.270927757024765,74.08762496197596,Proposed PI-GNN-GRU-v3 balanced_mode,noise_3_percent,S4_five_sensors,0.03
Proposed PI-GNN-GRU-v3 accuracy_mode noise_3_percent,0.30958831310272217,1.239487886428833,2.375260591506958,0.010709053836762905,0.3320651352405548,0.736028790473938,0.3320651352405548,0.736028790473938,0.736028790473938,2.3068442344665527,0.7054039295030894,4.3366789194592155,0.06667005270719528,1.6516757011413574,0.1263941377401352,0.3197212219238281,66.68235833058134,Proposed PI-GNN-GRU-v3 accuracy_mode,noise_3_percent,S4_five_sensors,0.03
GRU-MSE noise_5_percent,0.3087550103664398,1.6637892723083496,4.0636372566223145,0.015309295617043972,0.309477299451828,1.6778236627578735,0.309477299451828,1.6778236627578735,1.6778236627578735,2.6101632118225098,1.002129368664198,6.834690955530759,0.07095253467559814,3.0544326305389404,0.1357753872871399,0.30080726742744446,4.936733360712727,GRU-MSE,noise_5_percent,S4_five_sensors,0.05
Transformer-MSE noise_5_percent,0.4771170914173126,1.54310142993927,3.620197057723999,0.015615751966834068,0.4757300317287445,1.5461419820785522,0.4757300317287445,1.5461419820785522,1.5461419820785522,2.445329189300537,0.974908006545643,4.865063816615811,0.10927536338567734,2.5023305416107178,0.044730622321367264,0.5227542519569397,4.244016619243969,Transformer-MSE,noise_5_percent,S4_five_sensors,0.05
Proposed PI-GNN-GRU-v3 balanced_mode noise_5_percent,0.31715020537376404,1.532562255859375,4.002739906311035,0.01359577476978302,0.3199952244758606,1.451906681060791,0.3199952244758606,1.451906681060791,1.451906681060791,3.85557222366333,1.017966948634863,1.9290612372702933,0.052178941667079926,2.875575065612793,0.1750209927558899,0.27084586024284363,60.03441667417064,Proposed PI-GNN-GRU-v3 balanced_mode,noise_5_percent,S4_five_sensors,0.05
