source,kpi,value,unit,state_type,interpretation,safe_claim
measured_boundary,evaluation_horizon,192.0 h full evaluation horizon,text,metadata,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,horizon_hours,192.0,h,metadata,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,delivered_heat_MWh,13952.7029011514,MWh,real_measured_node/calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,delivered_heat_MWh_per_day,1744.087862643925,MWh/day,real_measured_node/calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,boundary_heat_MWh,13952.7029011514,MWh,real_measured_node,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,boundary_heat_MWh_per_day,1744.087862643925,MWh/day,real_measured_node,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,mean_delivered_heat_kW,72670.32761016354,kW,calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,peak_delivered_heat_kW,99059.1083113356,kW,calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,delivered_heat_error_percent,0.0,%,calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,heat_loss_MWh,0.0,MWh,calibrated_simulator,pipe heat-loss estimate from calibrated simulator/reconstructed state,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,heat_loss_MWh_per_day,0.0,MWh/day,calibrated_simulator,pipe heat-loss estimate from calibrated simulator/reconstructed state,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,heat_loss_ratio_percent,0.0,%,calibrated_simulator,pipe heat-loss estimate from calibrated simulator/reconstructed state,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,pump_energy_proxy_kWh,0.0,kWh,simulator_assisted_hidden_state,pump-energy proxy from simulator-assisted flow/head and assumed pump efficiency,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
measured_boundary,pump_energy_proxy_kWh_per_day,0.0,kWh/day,simulator_assisted_hidden_state,pump-energy proxy from simulator-assisted flow/head and assumed pump efficiency,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
measured_boundary,normalized_pump_energy_proxy_kWh_per_MWh,0.0,kWh/MWh,calibrated_simulator,pump-energy proxy from simulator-assisted flow/head and assumed pump efficiency,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
measured_boundary,pressure_drop_energy_proxy_kWh,0.0,kWh,simulator_assisted_hidden_state,pressure/head proxy from simulator-assisted hidden hydraulic state,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
measured_boundary,pressure_drop_energy_proxy_kWh_per_day,0.0,kWh/day,simulator_assisted_hidden_state,pressure/head proxy from simulator-assisted hidden hydraulic state,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
measured_boundary,mean_pressure_drop_kPa,,kPa,simulator_assisted_hidden_state,pressure/head proxy from simulator-assisted hidden hydraulic state,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
measured_boundary,max_pressure_drop_kPa,,kPa,simulator_assisted_hidden_state,pressure/head proxy from simulator-assisted hidden hydraulic state,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
measured_boundary,mean_energy_balance_residual_percent,0.0,%,calibrated_simulator,energy-balance consistency indicator,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,max_energy_balance_residual_percent,0.0,%,calibrated_simulator,energy-balance consistency indicator,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,cumulative_energy_balance_residual_MWh,0.0,MWh,calibrated_simulator,energy-balance consistency indicator,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
measured_boundary,cost_proxy_EUR,837162.174069084,EUR,proxy_assumption_based,transparent operational cost proxy under stated tariff assumptions,"Cost and CO2 values are proxy indicators, not optimized economic-dispatch results."
measured_boundary,cost_proxy_EUR_per_day,104645.2717586355,EUR/day,proxy_assumption_based,transparent operational cost proxy under stated tariff assumptions,"Cost and CO2 values are proxy indicators, not optimized economic-dispatch results."
measured_boundary,CO2_proxy_kg,2511486.522207252,kgCO2,proxy_assumption_based,assumption-based CO2 proxy for operational interpretation,"Cost and CO2 values are proxy indicators, not optimized economic-dispatch results."
measured_boundary,CO2_proxy_kg_per_day,313935.8152759065,kgCO2/day,proxy_assumption_based,assumption-based CO2 proxy for operational interpretation,"Cost and CO2 values are proxy indicators, not optimized economic-dispatch results."
calibrated_simulator,evaluation_horizon,192.0 h full evaluation horizon,text,metadata,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,horizon_hours,192.0,h,metadata,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,delivered_heat_MWh,13948.648883567863,MWh,real_measured_node/calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,delivered_heat_MWh_per_day,1743.5811104459829,MWh/day,real_measured_node/calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,boundary_heat_MWh,13952.7029011514,MWh,real_measured_node,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,boundary_heat_MWh_per_day,1744.087862643925,MWh/day,real_measured_node,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
