case,regime,model,sensor_layout,supply_RMSE_C,return_RMSE_C,head_RMSE_m,flow_RMSE_m3_s,pressure_drop_error_percent,heat_loss_error_percent,delivered_heat_error_percent,energy_balance_residual_percent,thermal_delay_error_min,boundary_residual_mean_C,max_temperature_error_C,max_head_error_m,state_type,safe_claim,note,parameter,perturbation
baseline,,GRU-MSE,S4_five_sensors,0.3087949752807617,1.6639587879180908,4.0563201904296875,0.015290389768779278,6.674518190273691,1.002184959467358,2.7230362559861083,8.074576620522421,60.0,0.13562269508838654,5.586917877197266,27.724685668945312,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.","baseline calibrated effective parameters. Calibrated parameters are effective parameters for matching plant-level data, not independently measured pipe/hydraulic properties.",baseline,baseline
baseline,,Transformer-MSE,S4_five_sensors,0.47766780853271484,1.5446743965148926,3.6231837272644043,0.015644496306777,5.171962703292016,0.9774818861308496,2.9521246135698154,7.61855347603992,240.0,0.044835444539785385,5.809623718261719,27.045028686523438,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.","baseline calibrated effective parameters. Calibrated parameters are effective parameters for matching plant-level data, not independently measured pipe/hydraulic properties.",baseline,baseline
baseline,,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.3172106444835663,1.5278425216674805,3.9702870845794678,0.012677067890763283,0.8476230694384452,1.0114537963038301,3.8610849747230294,5.23421607759442,270.0,0.17582660913467407,5.039314270019531,21.388412475585938,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.","baseline calibrated effective parameters. Calibrated parameters are effective parameters for matching plant-level data, not independently measured pipe/hydraulic properties.",baseline,baseline
heat_loss_U_0.8x,,GRU-MSE,S4_five_sensors,0.30930498242378235,1.633211612701416,4.032376289367676,0.01518908329308033,6.6849478886825136,0.9678261932558244,2.683201739639831,8.048704516633187,60.0,0.1345219761133194,5.603771209716797,27.723098754882812,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.","effective heat-loss coefficient perturbation. Calibrated parameters are effective parameters for matching plant-level data, not independently measured pipe/hydraulic properties.",heat_loss_U_W_m2K,0.8
heat_loss_U_0.8x,,Transformer-MSE,S4_five_sensors,0.4784488379955292,1.5248534679412842,3.5900704860687256,0.015490347519516945,5.112233072282011,0.9669700709413525,2.9177007587198918,7.544748613606179,240.0,0.044120658189058304,5.827152252197266,27.045089721679688,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.","effective heat-loss coefficient perturbation. Calibrated parameters are effective parameters for matching plant-level data, not independently measured pipe/hydraulic properties.",heat_loss_U_W_m2K,0.8
heat_loss_U_0.8x,,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.31330394744873047,1.4988752603530884,3.9899702072143555,0.012569074518978596,0.8418013591267198,0.9715125367937718,3.811367842822978,5.225929755316266,270.0,0.1751309484243393,5.054603576660156,21.388427734375,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.","effective heat-loss coefficient perturbation. Calibrated parameters are effective parameters for matching plant-level data, not independently measured pipe/hydraulic properties.",heat_loss_U_W_m2K,0.8
friction_factor_0.8x,,GRU-MSE,S4_five_sensors,0.3080607056617737,1.5553662776947021,10.986786842346191,0.01308855228126049,27.115814358132482,0.8942753913774854,2.683759800902101,8.152552269744312,60.0,0.13531652092933655,5.695304870605469,36.73662567138672,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.","effective friction-factor perturbation. Calibrated parameters are effective parameters for matching plant-level data, not independently measured pipe/hydraulic properties.",friction_factor,0.8
friction_factor_0.8x,,Transformer-MSE,S4_five_sensors,0.4689125716686249,1.504663109779358,9.036419868469238,0.016292762011289597,26.478332945954193,0.9773239727558866,3.0483752132337716,7.688837591223042,240.0,0.04544511064887047,5.931739807128906,47.33251190185547,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.","effective friction-factor perturbation. Calibrated parameters are effective parameters for matching plant-level data, not independently measured pipe/hydraulic properties.",friction_factor,0.8
friction_factor_0.8x,,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.3155527114868164,1.4783886671066284,2.790325880050659,0.012090645730495453,3.47098347839963,0.9566123238080707,3.830396373749828,6.066506262642084,270.0,0.1848566234111786,5.070404052734375,15.6484375,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.","effective friction-factor perturbation. Calibrated parameters are effective parameters for matching plant-level data, not independently measured pipe/hydraulic properties.",friction_factor,0.8
heat_loss_U_1.2x,,GRU-MSE,S4_five_sensors,0.3043915033340454,1.6641725301742554,4.031968116760254,0.015184962190687656,6.686210603758128,1.0123074640487837,2.6831502675910452,8.047280445822281,60.0,0.13454113900661469,5.570064544677734,27.72625732421875,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.","effective heat-loss coefficient perturbation. Calibrated parameters are effective parameters for matching plant-level data, not independently measured pipe/hydraulic properties.",heat_loss_U_W_m2K,1.2
