model,seed,RMSE_return_measured_C,MAE_return_measured_C,signed_bias_C,unique_test_timestamps,current_return_measurement_used,internal_simulator_sensor_values_used,available_inputs,evidence_type
GRU-MSE,11,1.085967004419978,0.9377307832573886,-0.7656639588839388,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Transformer-MSE,11,2.063866086968559,1.8804555848000046,-1.8804555848000046,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Proposed PI-GNN-GRU-v3 accuracy_mode,11,8.544483180250655,8.52760728639937,-8.52760728639937,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Proposed PI-GNN-GRU-v3 balanced_mode,11,6.221602413479689,6.207883584011629,-6.207883584011629,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
GRU-MSE,22,2.075627166848482,1.9351619495805248,-1.9351619495805248,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Transformer-MSE,22,3.7278439051638705,3.497370013617473,-3.497370013617473,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Proposed PI-GNN-GRU-v3 accuracy_mode,22,9.106926478858707,9.096998340226529,-9.096998340226529,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Proposed PI-GNN-GRU-v3 balanced_mode,22,5.754579761418634,5.740445829907384,-5.740445829907384,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
GRU-MSE,33,2.4245850308357046,2.2710420111833622,-2.2710420111833622,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Transformer-MSE,33,3.603697737595044,3.4743922596653247,-3.4743922596653247,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Proposed PI-GNN-GRU-v3 accuracy_mode,33,7.476893967868547,7.448728082840976,-7.448728082840976,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Proposed PI-GNN-GRU-v3 balanced_mode,33,6.287004404681385,6.249516482408588,-6.249516482408588,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
GRU-MSE,44,1.6964228439057927,1.5908766634185667,-1.5908766634185667,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Transformer-MSE,44,2.2399647839508976,1.91144975776013,-1.91144975776013,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Proposed PI-GNN-GRU-v3 accuracy_mode,44,8.00335811019656,7.9917903981619425,-7.9917903981619425,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Proposed PI-GNN-GRU-v3 balanced_mode,44,4.772088431400404,4.7527585012221305,-4.7527585012221305,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
GRU-MSE,55,2.232550482256033,2.1356418129297685,-2.1356418129297685,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Transformer-MSE,55,4.135517415151229,4.038401945873537,-4.038401945873537,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Proposed PI-GNN-GRU-v3 accuracy_mode,55,7.83865674823415,7.826926947053867,-7.826926947053867,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
Proposed PI-GNN-GRU-v3 balanced_mode,55,6.28152147093631,6.267864828737031,-6.267864828737031,102,False,False,measured source supply; measured load; configured ambient; causal load-derived pump/flow proxies,M target; checkpoint trained on C/S labels
