model,RMSE_Ts_full,RMSE_Tr_full,RMSE_H_full,RMSE_q_full,RMSE_Ts_measured_nodes,RMSE_Tr_measured_nodes,RMSE_supply_measured_C,RMSE_return_measured_C,RMSE_load_or_return_proxy,heat_load_consistency_error_percent,heat_loss_error_percent,energy_balance_residual,thermal_residual_mean,hydraulic_residual_mean,boundary_residual_mean,thermal_delay_error,inference_time_ms,loss_mode,architecture,training_time_s,parameter_count,seed
GRU-MSE,0.3087949752807617,1.6639587879180908,4.056320190429688,0.0152903897687792,0.3097561597824096,1.6741914749145508,0.3097561597824096,1.6741914749145508,1.6741914749145508,2.615581512451172,1.0021850385649298,6.837255749334889,0.0709554478526115,3.051655530929565,0.1356226950883865,0.3009662926197052,4.717625017898778,mse,gru,29.59216829994693,74580,11
Transformer-MSE,0.4776678085327148,1.5446743965148926,3.623183727264404,0.015644496306777,0.4764603972434997,1.5435234308242798,0.4764603972434997,1.5435234308242798,1.5435234308242798,2.450747013092041,0.977481793727328,4.853616288642408,0.1091388016939163,2.5079524517059326,0.0448354445397853,0.5235269665718079,4.002341709565371,mse,transformer,51.92801379994489,57812,11
Proposed PI-GNN-GRU-v3 accuracy_mode,0.3097324967384338,1.2393840551376345,2.28723406791687,0.0107153095304965,0.3328401446342468,0.7330604195594788,0.3328401446342468,0.7330604195594788,0.7330604195594788,2.3112130165100098,0.7054364068384766,4.325099810075428,0.0666273459792137,1.530489206314087,0.1264134645462036,0.3206670880317688,72.9933749535121,physics,pignn_v3,539.4512273999862,94600,11
Proposed PI-GNN-GRU-v3 balanced_mode,0.3172427713871002,1.5323377847671509,3.8601362705230713,0.0135874710977077,0.320834070444107,1.4478319883346558,0.320834070444107,1.4478319883346558,1.4478319883346558,3.8467068672180176,1.018015947693263,1.902289816546048,0.0521715842187404,2.64176869392395,0.175089493393898,0.271054208278656,85.90575001047303,physics,pignn_v3,520.5659056999721,94600,11
GRU-MSE,0.2872471809387207,1.5150622129440308,3.5302181243896484,0.0126152969896793,0.287948340177536,1.5197268724441528,0.287948340177536,1.5197268724441528,1.5197268724441528,1.722093105316162,0.8942847228528816,7.11943971772526,0.0823377221822738,2.5754735469818115,0.0850084871053695,0.3087989687919616,3.596241644117981,mse,gru,41.916594200069085,74580,22
Transformer-MSE,0.3635316491127014,1.557024598121643,2.9947621822357178,0.0121812699362635,0.3544354140758514,1.5505043268203735,0.3544354140758514,1.5505043268203735,1.5505043268203735,1.827919244766236,0.8923234157810838,5.713117175868762,0.1005725786089897,1.948585629463196,0.0375959575176239,0.3482784926891327,3.407666673107693,mse,transformer,64.54291240009479,57812,22
Proposed PI-GNN-GRU-v3 accuracy_mode,0.3303407728672027,1.3987011909484863,2.503875970840454,0.0108441170305013,0.3378267884254455,0.8493825197219849,0.3378267884254455,0.8493825197219849,0.8493825197219849,2.4854300022125244,0.8730845601791319,3.7106360775956673,0.0744587481021881,1.5764931440353394,0.14584781229496,0.3184452056884765,60.584566672332585,physics,pignn_v3,801.7937419000082,94600,22
Proposed PI-GNN-GRU-v3 balanced_mode,0.3198923468589782,1.4930185079574585,3.413290739059448,0.0109141506254673,0.3226588070392608,1.2867351770401,0.3226588070392608,1.2867351770401,1.2867351770401,3.385409355163574,0.9471503080319358,1.3211782353932953,0.0567977763712406,2.51946759223938,0.1501858085393905,0.2975403666496277,79.51736663623403,physics,pignn_v3,554.8998736001085,94600,22
GRU-MSE,0.3196717202663421,1.5304313898086548,3.217447519302368,0.0133819300681352,0.3280412256717682,1.5047615766525269,0.3280412256717682,1.5047615766525269,1.5047615766525269,1.5893806219100952,0.8915369868571625,7.659950534428186,0.0861602425575256,2.284327268600464,0.1134998276829719,0.3604325950145721,8.24580000092586,mse,gru,42.79186589992605,74580,33
Transformer-MSE,0.4313373267650604,1.4792394638061523,4.469106674194336,0.0187535695731639,0.4181028008460998,1.4856356382369995,0.4181028008460998,1.4856356382369995,1.4856356382369995,2.2733986377716064,0.894370760254652,6.420974210265662,0.1154574155807495,2.673672676086426,0.0650197118520736,0.3991766273975372,8.643916672250876,mse,transformer,53.77248760010116,57812,33
Proposed PI-GNN-GRU-v3 accuracy_mode,0.3030375242233276,1.219185709953308,2.8952906131744385,0.0096199326217174,0.3091099262237549,0.6687169671058655,0.3091099262237549,0.6687169671058655,0.6687169671058655,2.221961498260498,0.6828492592187848,3.972738549415082,0.062905378639698,2.012507200241089,0.1480159312486648,0.2811272144317627,117.25151668845986,physics,pignn_v3,780.4076515000779,94600,33
Proposed PI-GNN-GRU-v3 balanced_mode,0.3020504713058471,1.479939341545105,2.9573278427124023,0.0134088667109608,0.3049607276916504,1.3221715688705444,0.3049607276916504,1.3221715688705444,1.3221715688705444,3.955231904983521,0.915542520978548,1.519236001152151,0.0506722331047058,2.1018807888031006,0.1498949974775314,0.2887844145298004,55.42459164280445,physics,pignn_v3,573.9567613999825,94600,33
GRU-MSE,0.2934522330760956,1.5523401498794556,3.653911828994751,0.0137995202094316,0.2959917783737182,1.5809156894683838,0.2959917783737182,1.5809156894683838,1.5809156894683838,2.0819571018218994,0.9060519889043828,7.828375059066219,0.0881124436855316,2.725669860839844,0.0891729295253753,0.3269452154636383,3.4969417029060423,mse,gru,59.363144299946725,74580,44
Transformer-MSE,0.4458797872066498,1.5952502489089966,3.871015787124634,0.0165061932057142,0.4411710500717163,1.5976396799087524,0.4411710500717163,1.5976396799087524,1.5976396799087524,2.9711642265319824,0.908099576858084,4.750188191817811,0.1004107743501663,2.598628282546997,0.0857318863272667,0.4444177150726318,3.579924930818379,mse,transformer,65.33842429984361,57812,44
Proposed PI-GNN-GRU-v3 accuracy_mode,0.3139000236988067,1.3089722394943235,2.685115337371826,0.0092783262953162,0.3186463713645935,0.8101235628128052,0.3186463713645935,0.8101235628128052,0.8101235628128052,2.391393184661865,0.7390936705009405,3.499740938820796,0.063593178987503,1.790877103805542,0.1482555121183395,0.296566903591156,144.02350829914212,physics,pignn_v3,636.9425997999497,94600,44
Proposed PI-GNN-GRU-v3 balanced_mode,0.3128126859664917,1.5325453281402588,3.072238683700561,0.0136347133666276,0.312852680683136,1.3349143266677856,0.312852680683136,1.3349143266677856,1.3349143266677856,3.804564476013184,0.9781205030959814,1.4319690448015463,0.0524966903030872,1.9989876747131348,0.1692108660936355,0.2809907495975494,151.0597916591602,physics,pignn_v3,594.2541054000612,94600,44
GRU-MSE,0.2899754047393799,1.708073377609253,4.199543476104736,0.015961486846208572,0.2912288308143616,1.7049435377120972,0.2912288308143616,1.7049435377120972,1.7049435377120972,2.6032330989837646,1.050516522489476,7.926576337763579,0.08001405000686646,3.045560598373413,0.10227575153112411,0.30643337965011597,3.6729416654755673,mse,gru,39.4517577001825,74580,55
Transformer-MSE,0.34963321685791016,1.474356770515442,3.1097335815429688,0.012192415073513985,0.3384527266025543,1.4901065826416016,0.3384527266025543,1.4901065826416016,1.4901065826416016,1.9244482517242432,0.8705561404613182,6.869735163241712,0.08454420417547226,1.8434014320373535,0.03334900736808777,0.3164904713630676,4.416874997938673,mse,transformer,64.78567479993217,57812,55
Proposed PI-GNN-GRU-v3 accuracy_mode,0.3169225752353668,1.2152445316314697,3.102243185043335,0.008139914833009243,0.32733815908432007,0.8741697669029236,0.32733815908432007,0.8741697669029236,0.8741697669029236,1.957237720489502,0.6676503476286213,4.221529570599703,0.06364114582538605,2.045978307723999,0.18067717552185059,0.3043825924396515,99.50943333872904,physics,pignn_v3,583.3195438999683,94600,55
Proposed PI-GNN-GRU-v3 balanced_mode,0.31119948625564575,1.3130431175231934,2.4255056381225586,0.012549413368105888,0.30525991320610046,1.0239801406860352,0.30525991320610046,1.0239801406860352,1.0239801406860352,2.9750802516937256,0.7880145240296704,1.996543739088723,0.053074099123477936,1.6454840898513794,0.1489136815071106,0.27474769949913025,112.0416500295202,physics,pignn_v3,719.2626044999342,94600,55
