case,regime,model,sensor_layout,supply_RMSE_C,return_RMSE_C,head_RMSE_m,flow_RMSE_m3_s,pressure_drop_error_percent,heat_loss_error_percent,delivered_heat_error_percent,energy_balance_residual_percent,thermal_delay_error_min,boundary_residual_mean_C,max_temperature_error_C,max_head_error_m,state_type,safe_claim,note
winter_calibrated_model_to_regime,winter_high_load,GRU-MSE,S4_five_sensors,0.3087949752807617,1.6639587879180908,4.0563201904296875,0.015290389768779278,6.674518190273691,1.002184959467358,2.7230362559861083,8.074576620522421,60.0,0.13562269508838654,5.586917877197266,27.724685668945312,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.",Seasonal regimes are derived from real Sonderborg operating data by timestamp/heat-load quantiles. Distributed states are generated by the calibrated simulator.
winter_calibrated_model_to_regime,winter_high_load,Transformer-MSE,S4_five_sensors,0.47766780853271484,1.5446743965148926,3.6231837272644043,0.015644496306777,5.171962703292016,0.9774818861308496,2.9521246135698154,7.61855347603992,240.0,0.044835444539785385,5.809623718261719,27.045028686523438,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.",Seasonal regimes are derived from real Sonderborg operating data by timestamp/heat-load quantiles. Distributed states are generated by the calibrated simulator.
winter_calibrated_model_to_regime,winter_high_load,Proposed PI-GNN-GRU-v3 accuracy_mode,S4_five_sensors,0.3065761625766754,1.3828420639038086,2.660538673400879,0.013306204229593277,1.9734520474190325,0.8674086289924212,2.0670625720029125,6.980901681195209,60.0,0.12677420675754547,4.717952728271484,22.179534912109375,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.",Seasonal regimes are derived from real Sonderborg operating data by timestamp/heat-load quantiles. Distributed states are generated by the calibrated simulator.
winter_calibrated_model_to_regime,winter_high_load,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.3172106444835663,1.5278425216674805,3.9702870845794678,0.012677067890763283,0.8476230694384452,1.0114537963038301,3.8610849747230294,5.23421607759442,270.0,0.17582660913467407,5.039314270019531,21.388412475585938,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.",Seasonal regimes are derived from real Sonderborg operating data by timestamp/heat-load quantiles. Distributed states are generated by the calibrated simulator.
winter_calibrated_model_to_regime,shoulder_medium_load,GRU-MSE,S4_five_sensors,1.2149245738983154,4.659458160400391,4.343637943267822,0.015988079831004143,9.458746288157865,3.28259726220421,4.1464035702065685,13.950569724991244,0.0,0.17276017367839813,10.807598114013672,22.40276336669922,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.",Seasonal regimes are derived from real Sonderborg operating data by timestamp/heat-load quantiles. Distributed states are generated by the calibrated simulator.
winter_calibrated_model_to_regime,shoulder_medium_load,Transformer-MSE,S4_five_sensors,1.3408783674240112,4.325348377227783,6.448158264160156,0.031560011208057404,15.191609065248432,2.827668265920324,6.576735003559972,6.747987659855409,285.0,0.15887467563152313,9.500356674194336,25.436767578125,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.",Seasonal regimes are derived from real Sonderborg operating data by timestamp/heat-load quantiles. Distributed states are generated by the calibrated simulator.
winter_calibrated_model_to_regime,shoulder_medium_load,Proposed PI-GNN-GRU-v3 accuracy_mode,S4_five_sensors,1.2047345638275146,3.6176071166992188,3.795919418334961,0.01793675683438778,2.126756153330826,2.616428128364574,2.3257940555119307,7.930583705818041,0.0,0.24568742513656616,9.497840881347656,17.15302276611328,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.",Seasonal regimes are derived from real Sonderborg operating data by timestamp/heat-load quantiles. Distributed states are generated by the calibrated simulator.
winter_calibrated_model_to_regime,shoulder_medium_load,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,1.3135606050491333,4.188704967498779,3.101546287536621,0.02068878524005413,1.0145239951396636,3.1886080909962207,3.7177910462060737,6.2347902655094725,360.0,0.21105822920799255,10.24612045288086,8.785776138305664,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.",Seasonal regimes are derived from real Sonderborg operating data by timestamp/heat-load quantiles. Distributed states are generated by the calibrated simulator.
winter_calibrated_model_to_regime,low_load_optional,GRU-MSE,S4_five_sensors,1.6364673376083374,2.8760170936584473,13.653047561645508,0.06403444707393646,55.86021872624747,0.6598356365915354,9.880558421547416,8.226584013868148,0.0,1.184017539024353,8.360794067382812,32.24359130859375,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.",Seasonal regimes are derived from real Sonderborg operating data by timestamp/heat-load quantiles. Distributed states are generated by the calibrated simulator.
winter_calibrated_model_to_regime,low_load_optional,Transformer-MSE,S4_five_sensors,1.3876571655273438,2.854832887649536,17.94731330871582,0.09922947734594345,74.79209459595675,0.8546054473120506,25.668717731032803,3.216120424815958,105.0,1.2855998277664185,8.246402740478516,35.94889831542969,calibrated_simulator + simulator_assisted_hidden_state,"Real operating data define boundary conditions, but these perturbation metrics compare calibrated-simulator and simulator-assisted hidden-state targets; they are not independent real measured-node validation.",Seasonal regimes are derived from real Sonderborg operating data by timestamp/heat-load quantiles. Distributed states are generated by the calibrated simulator.
