model,RMSE_Ts_full,RMSE_Tr_full,RMSE_H_full,RMSE_q_full,RMSE_Ts_measured_nodes,RMSE_Tr_measured_nodes,RMSE_supply_measured_C,RMSE_return_measured_C,RMSE_load_or_return_proxy,heat_load_consistency_error_percent,heat_loss_error_percent,energy_balance_residual,thermal_residual_mean,hydraulic_residual_mean,boundary_residual_mean,thermal_delay_error,inference_time_ms,seed,window,checkpoint_retrained_on_second_window,normalization_source,sensor_layout
GRU-MSE,0.20191101729869843,0.7844699025154114,3.219735860824585,0.01180269569158554,0.20123831927776337,0.7656049728393555,0.20123831927776337,0.7656049728393555,0.7656049728393555,1.9475151300430298,0.4868835681318149,4.342045097461566,0.05819103121757507,2.4834296703338623,0.09339665621519089,0.20778049528598785,9.726366687876483,11,second_chronological_fixed_checkpoint,False,primary_window_training_only,S4_five_sensors
Transformer-MSE,0.19015230238437653,0.833754301071167,3.132565498352051,0.012881102040410042,0.17772966623306274,0.8285653591156006,0.17772966623306274,0.8285653591156006,0.8285653591156006,2.0270187854766846,0.5404668249980396,2.1255816515729604,0.06359879672527313,2.1259164810180664,0.02011100947856903,0.1528690606355667,7.317325003289928,11,second_chronological_fixed_checkpoint,False,primary_window_training_only,S4_five_sensors
Proposed PI-GNN-GRU-v3 accuracy_mode,0.19196413457393646,0.6433617472648621,1.9448424577713013,0.00626666285097599,0.19409991800785065,0.4290442168712616,0.19409991800785065,0.4290442168712616,0.4290442168712616,1.2703731060028076,0.39270516395732513,2.7047888157728326,0.04951557144522667,1.394787311553955,0.08814001083374023,0.20365850627422333,127.3943250416778,11,second_chronological_fixed_checkpoint,False,primary_window_training_only,S4_five_sensors
Proposed PI-GNN-GRU-v3 balanced_mode,0.1904458999633789,0.7972586154937744,3.7270326614379883,0.01043696142733097,0.18521209061145782,0.7490850687026978,0.18521209061145782,0.7490850687026978,0.7490850687026978,3.7571680545806885,0.5327432110068551,1.0188286859562248,0.039652854204177856,2.6606366634368896,0.12880179286003113,0.1201740950345993,89.09614170746256,11,second_chronological_fixed_checkpoint,False,primary_window_training_only,S4_five_sensors
GRU-MSE,0.1969093680381775,0.6628800630569458,2.317636251449585,0.006495991256088018,0.1936834454536438,0.6661852598190308,0.1936834454536438,0.6661852598190308,0.6661852598190308,1.0106990337371826,0.40145963118476585,3.892256199841214,0.06726754456758499,1.7381062507629395,0.04598009213805199,0.21798758208751678,5.482808356949438,22,second_chronological_fixed_checkpoint,False,primary_window_training_only,S4_five_sensors
Transformer-MSE,0.17473092675209045,0.7207204103469849,2.177560567855835,0.010024795308709145,0.16292552649974823,0.7213236093521118,0.16292552649974823,0.7213236093521118,0.7213236093521118,1.4477627277374268,0.4946292518106128,2.4839312041399593,0.06954950839281082,1.7908859252929688,0.015220936387777328,0.12556174397468567,6.453608337324113,22,second_chronological_fixed_checkpoint,False,primary_window_training_only,S4_five_sensors
Proposed PI-GNN-GRU-v3 accuracy_mode,0.18694528937339783,0.7278748750686646,1.8458526134490967,0.005145466420799494,0.18207943439483643,0.4952228367328644,0.18207943439483643,0.4952228367328644,0.4952228367328644,1.3085932731628418,0.5259124684983565,2.2107960195705356,0.05318066105246544,1.2726929187774658,0.10212147980928421,0.12769798934459686,69.36340001023684,22,second_chronological_fixed_checkpoint,False,primary_window_training_only,S4_five_sensors
Proposed PI-GNN-GRU-v3 balanced_mode,0.19072192907333374,0.7822903990745544,2.8950798511505127,0.007022032979875803,0.19340623915195465,0.6589109301567078,0.19340623915195465,0.6589109301567078,0.6589109301567078,2.2541491985321045,0.4936921373746842,1.0619251495708013,0.046302005648612976,2.2126998901367188,0.0952567309141159,0.17899025976657867,71.94288329143698,22,second_chronological_fixed_checkpoint,False,primary_window_training_only,S4_five_sensors
GRU-MSE,0.18811388313770294,0.6762505173683167,1.8507879972457886,0.006296924315392971,0.19361071288585663,0.6735382676124573,0.19361071288585663,0.6735382676124573,0.6735382676124573,0.9511063098907471,0.41391628308673123,4.295744551432009,0.06652096658945084,1.3110908269882202,0.06780466437339783,0.20907936990261078,4.722775018308312,33,second_chronological_fixed_checkpoint,False,primary_window_training_only,S4_five_sensors
Transformer-MSE,0.18284691870212555,0.7891700863838196,2.5877199172973633,0.011085442267358303,0.1727857142686844,0.7835911512374878,0.1727857142686844,0.7835911512374878,0.7835911512374878,2.2960119247436523,0.45263345816863554,3.3333234590994145,0.06758087873458862,1.9534531831741333,0.051791898906230927,0.13399381935596466,8.494016656186432,33,second_chronological_fixed_checkpoint,False,primary_window_training_only,S4_five_sensors
