epoch,model,train_loss,val_loss,selection_loss,selection_metric,state_mse,real_sensor_mse,thermal_residual,hydraulic_residual,boundary_residual,energy_residual,smoothness,total_loss
1,seed_33_Transformer-MSE,0.5332664863178225,0.13315355351993016,0.13315355351993016,normalized_state_mse,0.5332664863178225,0.0,0.0,0.0,0.0,0.0,0.0,0.5332664863178225
2,seed_33_Transformer-MSE,0.36158254499914066,0.08922959943967206,0.08922959943967206,normalized_state_mse,0.36158254499914066,0.0,0.0,0.0,0.0,0.0,0.0,0.36158254499914066
3,seed_33_Transformer-MSE,0.35373515026135877,0.10331966834408897,0.10331966834408897,normalized_state_mse,0.35373515026135877,0.0,0.0,0.0,0.0,0.0,0.0,0.35373515026135877
4,seed_33_Transformer-MSE,0.3107187626036731,0.1156061440706253,0.1156061440706253,normalized_state_mse,0.3107187626036731,0.0,0.0,0.0,0.0,0.0,0.0,0.3107187626036731
5,seed_33_Transformer-MSE,0.2860839609621149,0.10654491824763161,0.10654491824763161,normalized_state_mse,0.2860839609621149,0.0,0.0,0.0,0.0,0.0,0.0,0.2860839609621149
6,seed_33_Transformer-MSE,0.2753091843968088,0.1269165210958038,0.1269165210958038,normalized_state_mse,0.2753091843968088,0.0,0.0,0.0,0.0,0.0,0.0,0.2753091843968088
7,seed_33_Transformer-MSE,0.2632062316618182,0.09665463811584882,0.09665463811584882,normalized_state_mse,0.2632062316618182,0.0,0.0,0.0,0.0,0.0,0.0,0.2632062316618182
8,seed_33_Transformer-MSE,0.24840787640123657,0.0976828086589064,0.0976828086589064,normalized_state_mse,0.24840787640123657,0.0,0.0,0.0,0.0,0.0,0.0,0.24840787640123657
9,seed_33_Transformer-MSE,0.24879104474728758,0.088190424655165,0.088190424655165,normalized_state_mse,0.24879104474728758,0.0,0.0,0.0,0.0,0.0,0.0,0.24879104474728758
10,seed_33_Transformer-MSE,0.24583068817402376,0.07907828342701707,0.07907828342701707,normalized_state_mse,0.24583068817402376,0.0,0.0,0.0,0.0,0.0,0.0,0.24583068817402376
11,seed_33_Transformer-MSE,0.23156023454485516,0.10124980472028255,0.10124980472028255,normalized_state_mse,0.23156023454485516,0.0,0.0,0.0,0.0,0.0,0.0,0.23156023454485516
12,seed_33_Transformer-MSE,0.2231096424388163,0.0830635984561273,0.0830635984561273,normalized_state_mse,0.2231096424388163,0.0,0.0,0.0,0.0,0.0,0.0,0.2231096424388163
13,seed_33_Transformer-MSE,0.20939237980002706,0.0980038552411965,0.0980038552411965,normalized_state_mse,0.20939237980002706,0.0,0.0,0.0,0.0,0.0,0.0,0.20939237980002706
14,seed_33_Transformer-MSE,0.20601028497471954,0.11095188850803035,0.11095188850803035,normalized_state_mse,0.20601028497471954,0.0,0.0,0.0,0.0,0.0,0.0,0.20601028497471954
15,seed_33_Transformer-MSE,0.2059344770669034,0.06818530961338963,0.06818530961338963,normalized_state_mse,0.2059344770669034,0.0,0.0,0.0,0.0,0.0,0.0,0.2059344770669034
16,seed_33_Transformer-MSE,0.2029874028468674,0.08290871738323144,0.08290871738323144,normalized_state_mse,0.2029874028468674,0.0,0.0,0.0,0.0,0.0,0.0,0.2029874028468674
17,seed_33_Transformer-MSE,0.18613477581829735,0.09534549952617713,0.09534549952617713,normalized_state_mse,0.18613477581829735,0.0,0.0,0.0,0.0,0.0,0.0,0.18613477581829735
18,seed_33_Transformer-MSE,0.1966900144223914,0.06009125842579773,0.06009125842579773,normalized_state_mse,0.1966900144223914,0.0,0.0,0.0,0.0,0.0,0.0,0.1966900144223914
19,seed_33_Transformer-MSE,0.17087367391495994,0.06089803323681865,0.06089803323681865,normalized_state_mse,0.17087367391495994,0.0,0.0,0.0,0.0,0.0,0.0,0.17087367391495994
20,seed_33_Transformer-MSE,0.16596691197518146,0.09283543511160783,0.09283543511160783,normalized_state_mse,0.16596691197518146,0.0,0.0,0.0,0.0,0.0,0.0,0.16596691197518146
