epoch,model,train_loss,val_loss,selection_loss,selection_metric,state_mse,real_sensor_mse,thermal_residual,hydraulic_residual,boundary_residual,energy_residual,smoothness,total_loss
1,seed_44_GRU-MSE,0.5783633633770726,0.13684915431908198,0.13684915431908198,normalized_state_mse,0.5783633633770726,0.0,0.0,0.0,0.0,0.0,0.0,0.5783633633770726
2,seed_44_GRU-MSE,0.35240948990438925,0.09661040588149003,0.09661040588149003,normalized_state_mse,0.35240948990438925,0.0,0.0,0.0,0.0,0.0,0.0,0.35240948990438925
3,seed_44_GRU-MSE,0.3101331583704009,0.096458835793393,0.096458835793393,normalized_state_mse,0.3101331583704009,0.0,0.0,0.0,0.0,0.0,0.0,0.3101331583704009
4,seed_44_GRU-MSE,0.27329888172221906,0.10416615248790809,0.10416615248790809,normalized_state_mse,0.27329888172221906,0.0,0.0,0.0,0.0,0.0,0.0,0.27329888172221906
5,seed_44_GRU-MSE,0.25187801778542274,0.10126875660249166,0.10126875660249166,normalized_state_mse,0.25187801778542274,0.0,0.0,0.0,0.0,0.0,0.0,0.25187801778542274
6,seed_44_GRU-MSE,0.23178527650959563,0.07069085338818175,0.07069085338818175,normalized_state_mse,0.23178527650959563,0.0,0.0,0.0,0.0,0.0,0.0,0.23178527650959563
7,seed_44_GRU-MSE,0.22717738151550293,0.10251729589487825,0.10251729589487825,normalized_state_mse,0.22717738151550293,0.0,0.0,0.0,0.0,0.0,0.0,0.22717738151550293
8,seed_44_GRU-MSE,0.21652896199939828,0.06518903840333223,0.06518903840333223,normalized_state_mse,0.21652896199939828,0.0,0.0,0.0,0.0,0.0,0.0,0.21652896199939828
9,seed_44_GRU-MSE,0.20787185001553912,0.07434742738093648,0.07434742738093648,normalized_state_mse,0.20787185001553912,0.0,0.0,0.0,0.0,0.0,0.0,0.20787185001553912
10,seed_44_GRU-MSE,0.20213903526239324,0.0708662558879171,0.0708662558879171,normalized_state_mse,0.20213903526239324,0.0,0.0,0.0,0.0,0.0,0.0,0.20213903526239324
11,seed_44_GRU-MSE,0.19006761349737644,0.07019210739859513,0.07019210739859513,normalized_state_mse,0.19006761349737644,0.0,0.0,0.0,0.0,0.0,0.0,0.19006761349737644
12,seed_44_GRU-MSE,0.18174116838384757,0.05863264642123665,0.05863264642123665,normalized_state_mse,0.18174116838384757,0.0,0.0,0.0,0.0,0.0,0.0,0.18174116838384757
13,seed_44_GRU-MSE,0.17677876268598167,0.08837384358048439,0.08837384358048439,normalized_state_mse,0.17677876268598167,0.0,0.0,0.0,0.0,0.0,0.0,0.17677876268598167
14,seed_44_GRU-MSE,0.17221411396608208,0.07222299011690277,0.07222299011690277,normalized_state_mse,0.17221411396608208,0.0,0.0,0.0,0.0,0.0,0.0,0.17221411396608208
15,seed_44_GRU-MSE,0.1632560802567186,0.0683517696868096,0.0683517696868096,normalized_state_mse,0.1632560802567186,0.0,0.0,0.0,0.0,0.0,0.0,0.1632560802567186
16,seed_44_GRU-MSE,0.15841680279735362,0.07402503836367812,0.07402503836367812,normalized_state_mse,0.15841680279735362,0.0,0.0,0.0,0.0,0.0,0.0,0.15841680279735362
17,seed_44_GRU-MSE,0.15170228949776202,0.06464059105409044,0.06464059105409044,normalized_state_mse,0.15170228949776202,0.0,0.0,0.0,0.0,0.0,0.0,0.15170228949776202
18,seed_44_GRU-MSE,0.14891145553326968,0.07588959618338517,0.07588959618338517,normalized_state_mse,0.14891145553326968,0.0,0.0,0.0,0.0,0.0,0.0,0.14891145553326968
19,seed_44_GRU-MSE,0.1413264377889308,0.09425318826522146,0.09425318826522146,normalized_state_mse,0.1413264377889308,0.0,0.0,0.0,0.0,0.0,0.0,0.1413264377889308
20,seed_44_GRU-MSE,0.13998011194846846,0.06416955510420459,0.06416955510420459,normalized_state_mse,0.13998011194846846,0.0,0.0,0.0,0.0,0.0,0.0,0.13998011194846846
