model,RMSE_Ts_full,RMSE_Tr_full,RMSE_H_full,RMSE_q_full,RMSE_Ts_measured_nodes,RMSE_Tr_measured_nodes,RMSE_supply_measured_C,RMSE_return_measured_C,RMSE_load_or_return_proxy,heat_load_consistency_error_percent,heat_loss_error_percent,energy_balance_residual,thermal_residual_mean,hydraulic_residual_mean,boundary_residual_mean,thermal_delay_error,inference_time_ms,loss_mode,architecture,training_time_s,parameter_count,sensor_layout,sensor_nodes,uses_real_xai4heat,worst_node_temperature_error_C,outlet_node_temperature_error_C,peak_period_error_C
Proposed PI-GNN-GRU-v3 balanced_mode,0.3440101146697998,1.6958787441253662,38.5809326171875,0.026560761034488678,0.4265018403530121,1.6284126043319702,0.4265018403530121,1.6284126043319702,1.6284126043319702,4.827358722686768,1.053044379416311,2.7191033891467336,0.05025232583284378,30.48658561706543,0.2820638418197632,0.3046934902667999,72.73733334538217,physics,pignn_v3,101.77159559982829,94600,S1_inlet_only,0,False,0.8561513423919678,0.8434869647026062,0.5044525265693665
Proposed PI-GNN-GRU-v3 balanced_mode,0.35042184591293335,1.7023595571517944,3.351534366607666,0.013156981207430363,0.4060136675834656,1.4773662090301514,0.4060136675834656,1.4773662090301514,1.4773662090301514,4.185634136199951,1.149633819489977,3.430519054681365,0.06778866797685623,2.6049344539642334,0.3167833685874939,0.2569868266582489,152.80052501475438,physics,pignn_v3,123.6980328001082,94600,S2_inlet_outlet,0;20,False,0.9022822380065918,0.7281904220581055,0.5197852849960327
Proposed PI-GNN-GRU-v3 balanced_mode,0.3407503068447113,1.5499662160873413,5.892184734344482,0.01483442448079586,0.38988545536994934,1.5078705549240112,0.38988545536994934,1.5078705549240112,1.5078705549240112,5.424530506134033,0.9397238177845834,2.273191247558743,0.04421590268611908,5.081167221069336,0.32267722487449646,0.2650829553604126,68.97314166417345,physics,pignn_v3,125.58910730015486,94600,S3_inlet_middle_outlet,0;10;20,False,0.7497248649597168,0.7460324764251709,0.5001853704452515
Proposed PI-GNN-GRU-v3 balanced_mode,0.3455604314804077,1.473645806312561,5.871373653411865,0.012056623585522175,0.35948482155799866,1.3902138471603394,0.35948482155799866,1.3902138471603394,1.3902138471603394,3.472407817840576,0.891286112005089,1.5318298696861612,0.04561558738350868,4.252700328826904,0.27134063839912415,0.2920767366886139,76.62127504590899,physics,pignn_v3,113.45957499998622,94600,S4_five_sensors,0;5;10;15;20,False,0.7319695353507996,0.7019729614257812,0.5075576901435852
Proposed PI-GNN-GRU-v3 balanced_mode,0.35410282015800476,1.447589635848999,2.6120235919952393,0.014564257115125656,0.39518648386001587,1.3321495056152344,0.39518648386001587,1.3321495056152344,1.3321495056152344,4.235642910003662,0.8562067649642745,2.27649441966575,0.04565580189228058,2.030078649520874,0.30214133858680725,0.2853736877441406,141.93037499596053,physics,pignn_v3,136.57487299991772,94600,S5_noisy_inlet_outlet,0;20,False,0.7235745787620544,0.6734127402305603,0.5203163027763367
Proposed PI-GNN-GRU-v3 balanced_mode,0.3521438241004944,1.4578653573989868,9.171485900878906,0.01217698771506548,0.35198304057121277,1.3844685554504395,0.35198304057121277,1.3844685554504395,1.3844685554504395,3.379490613937378,0.8956928058842925,2.750350705689048,0.05254960432648659,6.156373977661133,0.2881324887275696,0.2764858901500702,59.83651666125903,physics,pignn_v3,139.66092959977686,94600,S6_dropout_five_sensors,0;5;10;15;20,False,0.7808797359466553,0.7445188164710999,0.5068061947822571
Proposed PI-GNN-GRU-v3 balanced_mode,0.3412657082080841,1.3476195335388184,5.627422332763672,0.01684456132352352,0.3677450120449066,1.3257968425750732,0.3677450120449066,1.3257968425750732,1.3257968425750732,2.4387824535369873,0.8112331669718151,1.8742253003541174,0.03914136067032814,3.761733055114746,0.22686219215393066,0.285366415977478,47.43475837555403,physics,pignn_v3,96.31725799990818,94600,S7_xai4heat_substations,1;6;10;14;19,False,0.6860569715499878,0.6860564947128296,0.4906906187534332
Proposed PI-GNN-GRU-v3 balanced_mode,0.3709692060947418,1.3606849908828735,4.19753360748291,0.013677660375833511,0.39781033992767334,1.2641890048980713,0.39781033992767334,1.2641890048980713,1.2641890048980713,4.114433288574219,0.8404708300572445,2.9075933021074847,0.03907564654946327,3.3164830207824707,0.3201179802417755,0.26205602288246155,75.20535830796386,physics,pignn_v3,89.85512219998054,94600,S8_random_three_sensors,0;2;20,False,0.687894880771637,0.6438522338867188,0.5201835632324219
Proposed PI-GNN-GRU-v3 balanced_mode,0.341380774974823,1.432423710823059,5.964666843414307,0.011750360950827599,0.3758854866027832,1.3519737720489502,0.3758854866027832,1.3519737720489502,1.3519737720489502,4.244043827056885,0.8298142142034611,2.121250548371392,0.04511136934161186,4.71730375289917,0.29689928889274597,0.27044805884361267,285.3423583631714,physics,pignn_v3,140.91353169991635,94600,S9_optimized_three_sensors,0;10;20,False,0.7242910861968994,0.6828149557113647,0.5029190182685852
Proposed PI-GNN-GRU-v3 balanced_mode,0.3620810806751251,1.4254487752914429,5.682487487792969,0.015388325788080692,0.3773447573184967,1.3541555404663086,0.3773447573184967,1.3541555404663086,1.3541555404663086,4.41416597366333,0.8960735977961718,3.2283378046089717,0.02789008989930153,4.094451427459717,0.3299245238304138,0.2589063346385956,60.19969170059388,physics,pignn_v3,116.24143920000643,94600,S10_optimized_five_sensors,0;5;10;15;20,False,0.7377756834030151,0.6826022863388062,0.4956527650356293
