objective,rank,sensor_layout,score,score_definition,sensor_nodes,sensor_count,comparison_class,max_unobserved_distance_km,safe_interpretation
Direct thermal accuracy,1,S7_xai4heat_substations,1.6888852417469025,RMSE_Ts + RMSE_Tr,1;6;10;14;19,5,unique nominal placement geometry,5.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Direct thermal accuracy,2,S8_random_three_sensors,1.7316541969776154,RMSE_Ts + RMSE_Tr,0;2;20,3,unique nominal placement geometry,18.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Direct thermal accuracy,3,S4_five_sensors,1.8192062377929688,RMSE_Ts + RMSE_Tr,0;5;10;15;20,5,unique nominal placement geometry,5.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Direct thermal accuracy,4,S11_middle_only,1.831441342830658,RMSE_Ts + RMSE_Tr,10,1,unique nominal placement geometry,10.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Direct thermal accuracy,5,S3_inlet_middle_outlet,1.8907165229320526,RMSE_Ts + RMSE_Tr,0;10;20,3,unique nominal placement geometry,10.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Direct thermal accuracy,6,S12_inlet_two_middle_outlet,1.9576342701911926,RMSE_Ts + RMSE_Tr,0;7;14;20,4,unique nominal placement geometry,7.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Direct thermal accuracy,7,S1_inlet_only,2.039888858795166,RMSE_Ts + RMSE_Tr,0,1,unique nominal placement geometry,20.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Direct thermal accuracy,8,S14_outlet_only,2.0416553616523743,RMSE_Ts + RMSE_Tr,20,1,unique nominal placement geometry,20.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Direct thermal accuracy,9,S2_inlet_outlet,2.052781403064728,RMSE_Ts + RMSE_Tr,0;20,2,unique nominal placement geometry,20.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Hydraulic reconstruction,1,S2_inlet_outlet,3.3646913478150964,RMSE_H + RMSE_q,0;20,2,unique nominal placement geometry,20.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Hydraulic reconstruction,2,S8_random_three_sensors,4.211211267858744,RMSE_H + RMSE_q,0;2;20,3,unique nominal placement geometry,18.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Hydraulic reconstruction,3,S7_xai4heat_substations,5.644266894087195,RMSE_H + RMSE_q,1;6;10;14;19,5,unique nominal placement geometry,5.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Hydraulic reconstruction,4,S12_inlet_two_middle_outlet,5.791789125651121,RMSE_H + RMSE_q,0;7;14;20,4,unique nominal placement geometry,7.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Hydraulic reconstruction,5,S4_five_sensors,5.883430276997387,RMSE_H + RMSE_q,0;5;10;15;20,5,unique nominal placement geometry,5.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Hydraulic reconstruction,6,S3_inlet_middle_outlet,5.907019158825278,RMSE_H + RMSE_q,0;10;20,3,unique nominal placement geometry,10.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Hydraulic reconstruction,7,S14_outlet_only,6.5268033016473055,RMSE_H + RMSE_q,20,1,unique nominal placement geometry,20.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Hydraulic reconstruction,8,S11_middle_only,17.735408578068018,RMSE_H + RMSE_q,10,1,unique nominal placement geometry,10.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Hydraulic reconstruction,9,S1_inlet_only,38.60749337822199,RMSE_H + RMSE_q,0,1,unique nominal placement geometry,20.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Physical consistency,1,S4_five_sensors,2.6944566200903743,heat-loss error + energy residual + boundary residual,0;5;10;15;20,5,unique nominal placement geometry,5.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Physical consistency,2,S7_xai4heat_substations,2.912320659479863,heat-loss error + energy residual + boundary residual,1;6;10;14;19,5,unique nominal placement geometry,5.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Physical consistency,3,S11_middle_only,3.4819605612050126,heat-loss error + energy residual + boundary residual,10,1,unique nominal placement geometry,10.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Physical consistency,4,S3_inlet_middle_outlet,3.535592290217823,heat-loss error + energy residual + boundary residual,0;10;20,3,unique nominal placement geometry,10.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Physical consistency,5,S1_inlet_only,4.054211610382808,heat-loss error + energy residual + boundary residual,0,1,unique nominal placement geometry,20.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Physical consistency,6,S8_random_three_sensors,4.068182112406505,heat-loss error + energy residual + boundary residual,0;2;20,3,unique nominal placement geometry,18.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Physical consistency,7,S2_inlet_outlet,4.896936242758835,heat-loss error + energy residual + boundary residual,0;20,2,unique nominal placement geometry,20.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Physical consistency,8,S12_inlet_two_middle_outlet,5.662908807481303,heat-loss error + energy residual + boundary residual,0;7;14;20,4,unique nominal placement geometry,7.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Physical consistency,9,S14_outlet_only,6.166255876819466,heat-loss error + energy residual + boundary residual,20,1,unique nominal placement geometry,20.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Practical low-sensor layout,1,S11_middle_only,2.5278334550716606,<=3 sensors: direct score + 0.2 x physical score,10,1,unique nominal placement geometry,10.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Practical low-sensor layout,2,S8_random_three_sensors,2.545290619458916,<=3 sensors: direct score + 0.2 x physical score,0;2;20,3,unique nominal placement geometry,18.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Practical low-sensor layout,3,S3_inlet_middle_outlet,2.5978349809756174,<=3 sensors: direct score + 0.2 x physical score,0;10;20,3,unique nominal placement geometry,10.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Practical low-sensor layout,4,S1_inlet_only,2.8507311808717275,<=3 sensors: direct score + 0.2 x physical score,0,1,unique nominal placement geometry,20.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Practical low-sensor layout,5,S2_inlet_outlet,3.032168651616495,<=3 sensors: direct score + 0.2 x physical score,0;20,2,unique nominal placement geometry,20.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
Practical low-sensor layout,6,S14_outlet_only,3.2749065370162675,<=3 sensors: direct score + 0.2 x physical score,20,1,unique nominal placement geometry,20.0,Ranked only among unique nominal corridor geometries; not a field installation recommendation.
