sensor_layout,n_sensors,sensor_count,information_gain_proxy,mean_distance_to_nearest_sensor_m,nearest_sensor_distance_mean_km,maximum_unobserved_segment_length_m,max_unobserved_distance_km,middle_pipe_sensor_included,contains_middle_sensor,contains_outlet_sensor
S1_inlet_only,1,1,0.46209812037329684,10000.0,10.0,20000.0,20.0,False,False,False
S2_inlet_outlet,2,2,0.8873406946934732,4761.9047619047615,4.761904761904762,20000.0,20.0,False,False,True
S3_inlet_middle_outlet,3,3,1.238816237596498,2380.9523809523807,2.380952380952381,10000.0,10.0,True,True,True
S4_five_sensors,5,5,1.6949076060265384,1142.857142857143,1.1428571428571428,5000.0,5.0,True,True,True
S5_noisy_inlet_outlet,2,2,0.8873406946934732,4761.9047619047615,4.761904761904762,20000.0,20.0,False,False,True
S6_dropout_five_sensors,5,5,1.6949076060265384,1142.857142857143,1.1428571428571428,5000.0,5.0,True,True,True
S7_xai4heat_substations,5,5,1.702576871212179,1047.6190476190477,1.0476190476190477,5000.0,5.0,True,True,False
S8_random_three_sensors,3,3,1.159847871853295,3904.7619047619046,3.9047619047619047,18000.0,18.0,False,False,True
S9_optimized_three_sensors,3,3,1.238816237596498,2380.9523809523807,2.380952380952381,10000.0,10.0,True,True,True
S10_optimized_five_sensors,5,5,1.6949076060265384,1142.857142857143,1.1428571428571428,5000.0,5.0,True,True,True
S11_middle_only,1,1,0.5492864449720322,5238.0952380952385,5.238095238095238,10000.0,10.0,True,True,False
S12_inlet_two_middle_outlet,4,4,1.4921940909985036,1571.4285714285713,1.5714285714285714,7000.0,7.0,False,False,True
S13_noisy_inlet_only,1,1,0.46209812037329684,10000.0,10.0,20000.0,20.0,False,False,False
S14_outlet_only,1,1,0.46209812037329684,10000.0,10.0,20000.0,20.0,False,False,True
S15_noisy_inlet_outlet_5pct,2,2,0.8873406946934732,4761.9047619047615,4.761904761904762,20000.0,20.0,False,False,True
S16_peak_dropout_five_sensors,5,5,1.6949076060265384,1142.857142857143,1.1428571428571428,5000.0,5.0,True,True,True
S17_optimized_two_sensors,2,2,0.8873406946934732,4761.9047619047615,4.761904761904762,20000.0,20.0,False,False,True
