objective,rank,sensor_layout,score,score_definition,sensor_nodes,sensor_count,safe_interpretation,max_unobserved_distance_km,nearest_sensor_distance_mean_km,contains_middle_sensor,contains_outlet_sensor
Best direct thermal accuracy,1,S7_xai4heat_substations,1.6888852417469025,RMSE_Ts + RMSE_Tr,1;6;10;14;19,5,S7_xai4heat_substations ranks strongly for best direct thermal accuracy in the calibrated-simulator benchmark.,5.0,1.0476190476190477,True,False
Best direct thermal accuracy,2,S8_random_three_sensors,1.7316541969776154,RMSE_Ts + RMSE_Tr,0;2;20,3,S8_random_three_sensors ranks strongly for best direct thermal accuracy in the calibrated-simulator benchmark.,18.0,3.9047619047619047,False,True
Best direct thermal accuracy,3,S9_optimized_three_sensors,1.773804485797882,RMSE_Ts + RMSE_Tr,0;10;20,3,S9_optimized_three_sensors ranks strongly for best direct thermal accuracy in the calibrated-simulator benchmark.,10.0,2.380952380952381,True,True
Best direct thermal accuracy,4,S10_optimized_five_sensors,1.787529855966568,RMSE_Ts + RMSE_Tr,0;5;10;15;20,5,S10_optimized_five_sensors ranks strongly for best direct thermal accuracy in the calibrated-simulator benchmark.,5.0,1.1428571428571428,True,True
Best direct thermal accuracy,5,S5_noisy_inlet_outlet,1.8016924560070038,RMSE_Ts + RMSE_Tr,0;20,2,S5_noisy_inlet_outlet ranks strongly for best direct thermal accuracy in the calibrated-simulator benchmark.,20.0,4.761904761904762,False,True
Best hydraulic reconstruction,1,S17_optimized_two_sensors,1.7322009056806564,RMSE_H + RMSE_q,0;20,2,S17_optimized_two_sensors ranks strongly for best hydraulic reconstruction in the calibrated-simulator benchmark.,20.0,4.761904761904762,False,True
Best hydraulic reconstruction,2,S5_noisy_inlet_outlet,2.6265878491103654,RMSE_H + RMSE_q,0;20,2,S5_noisy_inlet_outlet ranks strongly for best hydraulic reconstruction in the calibrated-simulator benchmark.,20.0,4.761904761904762,False,True
Best hydraulic reconstruction,3,S2_inlet_outlet,3.3646913478150964,RMSE_H + RMSE_q,0;20,2,S2_inlet_outlet ranks strongly for best hydraulic reconstruction in the calibrated-simulator benchmark.,20.0,4.761904761904762,False,True
Best hydraulic reconstruction,4,S15_noisy_inlet_outlet_5pct,3.475071365013718,RMSE_H + RMSE_q,0;20,2,S15_noisy_inlet_outlet_5pct ranks strongly for best hydraulic reconstruction in the calibrated-simulator benchmark.,20.0,4.761904761904762,False,True
Best hydraulic reconstruction,5,S8_random_three_sensors,4.211211267858744,RMSE_H + RMSE_q,0;2;20,3,S8_random_three_sensors ranks strongly for best hydraulic reconstruction in the calibrated-simulator benchmark.,18.0,3.9047619047619047,False,True
Best physical consistency,1,S4_five_sensors,2.6944566200903743,heat-loss error + energy residual + boundary residual,0;5;10;15;20,5,S4_five_sensors is strongest for physical consistency in this benchmark; check direct RMSE before recommending deployment.,5.0,1.1428571428571428,True,True
Best physical consistency,2,S7_xai4heat_substations,2.912320659479863,heat-loss error + energy residual + boundary residual,1;6;10;14;19,5,S7_xai4heat_substations is strongest for physical consistency in this benchmark; check direct RMSE before recommending deployment.,5.0,1.0476190476190477,True,False
Best physical consistency,3,S9_optimized_three_sensors,3.247964051467599,heat-loss error + energy residual + boundary residual,0;10;20,3,S9_optimized_three_sensors is strongest for physical consistency in this benchmark; check direct RMSE before recommending deployment.,10.0,2.380952380952381,True,True
Best physical consistency,4,S15_noisy_inlet_outlet_5pct,3.3949763723125512,heat-loss error + energy residual + boundary residual,0;20,2,S15_noisy_inlet_outlet_5pct is strongest for physical consistency in this benchmark; check direct RMSE before recommending deployment.,20.0,4.761904761904762,False,True
Best physical consistency,5,S5_noisy_inlet_outlet,3.434842523216832,heat-loss error + energy residual + boundary residual,0;20,2,S5_noisy_inlet_outlet is strongest for physical consistency in this benchmark; check direct RMSE before recommending deployment.,20.0,4.761904761904762,False,True
Best robust sparse layout,1,S5_noisy_inlet_outlet,5.236534979223835,noise/dropout score,0;20,2,S5_noisy_inlet_outlet ranks strongly for best robust sparse layout in the calibrated-simulator benchmark.,20.0,4.761904761904762,False,True
Best robust sparse layout,2,S15_noisy_inlet_outlet_5pct,5.389587009738928,noise/dropout score,0;20,2,S15_noisy_inlet_outlet_5pct ranks strongly for best robust sparse layout in the calibrated-simulator benchmark.,20.0,4.761904761904762,False,True
Best robust sparse layout,3,S16_peak_dropout_five_sensors,5.421730401963235,noise/dropout score,0;5;10;15;20,5,S16_peak_dropout_five_sensors ranks strongly for best robust sparse layout in the calibrated-simulator benchmark.,5.0,1.1428571428571428,True,True
Best robust sparse layout,4,S6_dropout_five_sensors,5.7441851818003915,noise/dropout score,0;5;10;15;20,5,S6_dropout_five_sensors ranks strongly for best robust sparse layout in the calibrated-simulator benchmark.,5.0,1.1428571428571428,True,True
Best robust sparse layout,5,S13_noisy_inlet_only,5.864874924070806,noise/dropout score,0,1,S13_noisy_inlet_only ranks strongly for best robust sparse layout in the calibrated-simulator benchmark.,20.0,10.0,False,False
Best practical low-sensor layout,1,S9_optimized_three_sensors,2.423397296091402,three or fewer sensors with direct/physics score,0;10;20,3,"S9_optimized_three_sensors is a low-sensor option for this objective in the current benchmark, not a universally optimal design.",10.0,2.380952380952381,True,True
Best practical low-sensor layout,2,S5_noisy_inlet_outlet,2.4886609606503702,three or fewer sensors with direct/physics score,0;20,2,"S5_noisy_inlet_outlet is a low-sensor option for this objective in the current benchmark, not a universally optimal design.",20.0,4.761904761904762,False,True
Best practical low-sensor layout,3,S11_middle_only,2.5278334550716606,three or fewer sensors with direct/physics score,10,1,"S11_middle_only is a low-sensor option for this objective in the current benchmark, not a universally optimal design.",10.0,5.238095238095238,True,False
Best practical low-sensor layout,4,S8_random_three_sensors,2.545290619458916,three or fewer sensors with direct/physics score,0;2;20,3,"S8_random_three_sensors is a low-sensor option for this objective in the current benchmark, not a universally optimal design.",18.0,3.9047619047619047,False,True
Best practical low-sensor layout,5,S17_optimized_two_sensors,2.56547948113313,three or fewer sensors with direct/physics score,0;20,2,"S17_optimized_two_sensors is a low-sensor option for this objective in the current benchmark, not a universally optimal design.",20.0,4.761904761904762,False,True
