condition,model,sensor_layout,noise_std_fraction,RMSE_Ts_supply_C,RMSE_Tr_return_C,RMSE_head_m,RMSE_flow_m3_s,heat_loss_error_percent,energy_balance_residual,boundary_residual_mean,state_type,note
temperature_head_sensor_noise_1pct,GRU-MSE,S4_five_sensors,0.01,0.30878573656082153,1.6639710664749146,4.05785608291626,0.01529488805681467,1.0022230120589615,8.072674330692431,0.13565108180046082,real_measured_node + simulator_assisted_hidden_state,sensor-value perturbation; hydraulic quantities remain simulator-assisted
temperature_head_sensor_noise_1pct,Transformer-MSE,S4_five_sensors,0.01,0.47755903005599976,1.5443718433380127,3.622539758682251,0.015638481825590134,0.9769648415249867,7.61850142073145,0.04481305927038193,real_measured_node + simulator_assisted_hidden_state,sensor-value perturbation; hydraulic quantities remain simulator-assisted
temperature_head_sensor_noise_1pct,Proposed PI-GNN-GRU-v3 accuracy_mode,S4_five_sensors,0.01,0.3096851408481598,1.2393752336502075,2.3017239570617676,0.010712298564612865,0.7053955884396496,6.999582814348787,0.12639757990837097,real_measured_node + simulator_assisted_hidden_state,sensor-value perturbation; hydraulic quantities remain simulator-assisted
temperature_head_sensor_noise_1pct,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.01,0.3172241747379303,1.5323666334152222,3.870997667312622,0.013589061796665192,1.0179923499220542,5.440082116173773,0.17506957054138184,real_measured_node + simulator_assisted_hidden_state,sensor-value perturbation; hydraulic quantities remain simulator-assisted
heat_load_noise_plus_1pct,GRU-MSE,S4_five_sensors,0.0,0.30626410245895386,1.694011926651001,4.519780158996582,0.017878659069538116,1.040191081038596,8.085038636852568,0.13609875738620758,real_measured_node + simulator_assisted_hidden_state,heat-load feature perturbation diagnostic
heat_load_noise_plus_1pct,Transformer-MSE,S4_five_sensors,0.0,0.47648751735687256,1.5489388704299927,3.7133536338806152,0.01583450473845005,0.9718932264645869,7.416794902541978,0.04489029571413994,real_measured_node + simulator_assisted_hidden_state,heat-load feature perturbation diagnostic
heat_load_noise_plus_1pct,Proposed PI-GNN-GRU-v3 accuracy_mode,S4_five_sensors,0.0,0.3075808584690094,1.2621666193008423,2.3388023376464844,0.012133019044995308,0.7339529646250061,7.034262297761205,0.1262538731098175,real_measured_node + simulator_assisted_hidden_state,heat-load feature perturbation diagnostic
heat_load_noise_plus_1pct,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.0,0.31726905703544617,1.551581859588623,3.83866548538208,0.015358027070760727,1.042467775850401,5.47169634060116,0.17463111877441406,real_measured_node + simulator_assisted_hidden_state,heat-load feature perturbation diagnostic
temperature_head_sensor_noise_3pct,GRU-MSE,S4_five_sensors,0.03,0.3087695240974426,1.663902759552002,4.060731410980225,0.015302303247153759,1.002202357782871,8.069102742482407,0.13571086525917053,real_measured_node + simulator_assisted_hidden_state,sensor-value perturbation; hydraulic quantities remain simulator-assisted
temperature_head_sensor_noise_3pct,Transformer-MSE,S4_five_sensors,0.03,0.477337509393692,1.5437413454055786,3.621312379837036,0.01562684401869774,0.9759344877075576,7.619348994377491,0.04477119445800781,real_measured_node + simulator_assisted_hidden_state,sensor-value perturbation; hydraulic quantities remain simulator-assisted
temperature_head_sensor_noise_3pct,Proposed PI-GNN-GRU-v3 accuracy_mode,S4_five_sensors,0.03,0.30959004163742065,1.2394614219665527,2.3756935596466064,0.010710119269788265,0.7053708586979401,6.9863874385717315,0.12639248371124268,real_measured_node + simulator_assisted_hidden_state,sensor-value perturbation; hydraulic quantities remain simulator-assisted
temperature_head_sensor_noise_3pct,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.03,0.3171869218349457,1.5324543714523315,3.9195985794067383,0.013590904884040356,1.0179707108908473,5.442265238886851,0.17503692209720612,real_measured_node + simulator_assisted_hidden_state,sensor-value perturbation; hydraulic quantities remain simulator-assisted
heat_load_noise_plus_3pct,GRU-MSE,S4_five_sensors,0.0,0.30227088928222656,1.7506672143936157,5.6930952072143555,0.023836234584450722,1.1133446767666606,8.09174250447683,0.1377735584974289,real_measured_node + simulator_assisted_hidden_state,heat-load feature perturbation diagnostic
heat_load_noise_plus_3pct,Transformer-MSE,S4_five_sensors,0.0,0.47492340207099915,1.5594426393508911,4.235465049743652,0.0178616251796484,0.9611196249539209,7.069288597023192,0.04606165364384651,real_measured_node + simulator_assisted_hidden_state,heat-load feature perturbation diagnostic
heat_load_noise_plus_3pct,Proposed PI-GNN-GRU-v3 accuracy_mode,S4_five_sensors,0.0,0.30413055419921875,1.3138667345046997,2.4765632152557373,0.016800491139292717,0.7919091936146683,7.072196772860457,0.12610597908496857,real_measured_node + simulator_assisted_hidden_state,heat-load feature perturbation diagnostic
heat_load_noise_plus_3pct,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.0,0.3173049986362457,1.5840646028518677,3.8034017086029053,0.019519194960594177,1.0824223424751989,5.522738802060335,0.17345595359802246,real_measured_node + simulator_assisted_hidden_state,heat-load feature perturbation diagnostic
temperature_head_sensor_noise_5pct,GRU-MSE,S4_five_sensors,0.05,0.3087541460990906,1.6638363599777222,4.063813209533691,0.015310307033360004,1.002178679859115,8.06693990391561,0.13577544689178467,real_measured_node + simulator_assisted_hidden_state,sensor-value perturbation; hydraulic quantities remain simulator-assisted
temperature_head_sensor_noise_5pct,Transformer-MSE,S4_five_sensors,0.05,0.47712084650993347,1.5431157350540161,3.6202166080474854,0.015615764074027538,0.9749053478064155,7.620896168151487,0.04472906515002251,real_measured_node + simulator_assisted_hidden_state,sensor-value perturbation; hydraulic quantities remain simulator-assisted
temperature_head_sensor_noise_5pct,Proposed PI-GNN-GRU-v3 accuracy_mode,S4_five_sensors,0.05,0.309499055147171,1.2396153211593628,2.505786418914795,0.010715882293879986,0.7053309674143319,6.981604922133562,0.1264105886220932,real_measured_node + simulator_assisted_hidden_state,sensor-value perturbation; hydraulic quantities remain simulator-assisted
