quantity,interval,mean_interval_width,unit,coverage,measured_node_coverage,unmeasured_node_coverage,uncertainty_error_correlation,method,state_type,safe_claim
supply_temperature,80%,1.1228367673143562,C,94.14355485784057,95.1098901098901,93.8415750915751,0.38323544342405896,saved-model ensemble plus residual-based calibration floor,real_measured_node,Uncertainty bands quantify confidence in virtual sensor estimates. Distributed pressure/head and flow uncertainty is evaluated for simulator-assisted hidden states because dense hydraulic measurements are unavailable.
supply_temperature,90%,1.4411315531799191,C,97.24838653410082,97.87545787545787,97.05242673992674,0.38323544342405896,saved-model ensemble plus residual-based calibration floor,real_measured_node,Uncertainty bands quantify confidence in virtual sensor estimates. Distributed pressure/head and flow uncertainty is evaluated for simulator-assisted hidden states because dense hydraulic measurements are unavailable.
supply_temperature,95%,1.7171973033209567,C,98.40397697540556,98.58974358974359,98.3459249084249,0.38323544342405896,saved-model ensemble plus residual-based calibration floor,real_measured_node,Uncertainty bands quantify confidence in virtual sensor estimates. Distributed pressure/head and flow uncertainty is evaluated for simulator-assisted hidden states because dense hydraulic measurements are unavailable.
return_temperature,80%,4.302564438553578,C,84.3886272457701,95.58608058608058,80.88942307692307,-0.034629690539306736,saved-model ensemble plus residual-based calibration floor,real_measured_node,Uncertainty bands quantify confidence in virtual sensor estimates. Distributed pressure/head and flow uncertainty is evaluated for simulator-assisted hidden states because dense hydraulic measurements are unavailable.
return_temperature,90%,5.522228655568648,C,93.09262166405023,98.9010989010989,91.27747252747253,-0.034629690539306736,saved-model ensemble plus residual-based calibration floor,real_measured_node,Uncertainty bands quantify confidence in virtual sensor estimates. Distributed pressure/head and flow uncertainty is evaluated for simulator-assisted hidden states because dense hydraulic measurements are unavailable.
return_temperature,95%,6.580076700659341,C,97.39665096807954,99.76190476190476,96.65750915750915,-0.034629690539306736,saved-model ensemble plus residual-based calibration floor,real_measured_node,Uncertainty bands quantify confidence in virtual sensor estimates. Distributed pressure/head and flow uncertainty is evaluated for simulator-assisted hidden states because dense hydraulic measurements are unavailable.
head,80%,16.27650390140373,m,99.68166753881039,100.0,99.58218864468864,0.4535652235948989,saved-model ensemble plus residual-based calibration floor,simulator_assisted_hidden_state,Uncertainty bands quantify confidence in virtual sensor estimates. Distributed pressure/head and flow uncertainty is evaluated for simulator-assisted hidden states because dense hydraulic measurements are unavailable.
head,90%,20.8904660326303,m,99.93022850165707,100.0,99.9084249084249,0.4535652235948989,saved-model ensemble plus residual-based calibration floor,simulator_assisted_hidden_state,Uncertainty bands quantify confidence in virtual sensor estimates. Distributed pressure/head and flow uncertainty is evaluated for simulator-assisted hidden states because dense hydraulic measurements are unavailable.
head,95%,24.89228124746512,m,99.97819640676784,100.0,99.97138278388277,0.4535652235948989,saved-model ensemble plus residual-based calibration floor,simulator_assisted_hidden_state,Uncertainty bands quantify confidence in virtual sensor estimates. Distributed pressure/head and flow uncertainty is evaluated for simulator-assisted hidden states because dense hydraulic measurements are unavailable.
flow,80%,0.049684054577672124,m3/s,98.19030176173034,98.992673992674,97.93956043956044,0.10284231788702494,saved-model ensemble plus residual-based calibration floor,simulator_assisted_hidden_state,Uncertainty bands quantify confidence in virtual sensor estimates. Distributed pressure/head and flow uncertainty is evaluated for simulator-assisted hidden states because dense hydraulic measurements are unavailable.
flow,90%,0.06376818147223227,m3/s,99.14965986394559,99.57875457875458,99.01556776556777,0.10284231788702494,saved-model ensemble plus residual-based calibration floor,simulator_assisted_hidden_state,Uncertainty bands quantify confidence in virtual sensor estimates. Distributed pressure/head and flow uncertainty is evaluated for simulator-assisted hidden states because dense hydraulic measurements are unavailable.
flow,95%,0.0759837289109218,m3/s,99.54212454212454,99.78021978021978,99.46771978021978,0.10284231788702494,saved-model ensemble plus residual-based calibration floor,simulator_assisted_hidden_state,Uncertainty bands quantify confidence in virtual sensor estimates. Distributed pressure/head and flow uncertainty is evaluated for simulator-assisted hidden states because dense hydraulic measurements are unavailable.
heat_loss,80%,107.4172178665253,kW,79.67032967032966,,,-0.38740933821479784,saved-model ensemble plus residual-based calibration floor,calibrated_simulator,Heat-loss uncertainty is calibrated against simulator-derived heat-loss labels.
heat_loss,90%,137.86718294994338,kW,95.87912087912088,,,-0.38740933821479784,saved-model ensemble plus residual-based calibration floor,calibrated_simulator,Heat-loss uncertainty is calibrated against simulator-derived heat-loss labels.
heat_loss,95%,164.27726827277593,kW,99.72527472527473,,,-0.38740933821479784,saved-model ensemble plus residual-based calibration floor,calibrated_simulator,Heat-loss uncertainty is calibrated against simulator-derived heat-loss labels.
