quantity,interval,method,calibration_factor,mean_interval_width,normalized_interval_width,unit,coverage,measured_node_coverage,unmeasured_node_coverage,width_error_correlation,state_type,safe_claim
supply_temperature,80%,raw_ensemble_residual,1.2816,1.1228367673143562,4.862531126770565,C,94.14355485784057,95.1098901098901,93.8415750915751,0.38323544342405863,virtual_sensor_estimate,Intervals are operational confidence bands; conformal calibration reports empirical coverage and sharpness without claiming perfect probabilistic calibration.
supply_temperature,80%,conformal_calibrated,0.8233727228118294,0.7213741934900546,3.1239665212284273,C,79.99738356881214,80.47619047619048,79.84775641025641,0.3832354434240589,virtual_sensor_estimate,Intervals are operational confidence bands; conformal calibration reports empirical coverage and sharpness without claiming perfect probabilistic calibration.
supply_temperature,90%,raw_ensemble_residual,1.6449,1.4411315531799191,6.2409312191205535,C,97.24838653410082,97.87545787545787,97.05242673992674,0.3832354434240592,virtual_sensor_estimate,Intervals are operational confidence bands; conformal calibration reports empirical coverage and sharpness without claiming perfect probabilistic calibration.
supply_temperature,90%,conformal_calibrated,1.0736080453268666,0.9406106327851933,4.07338681207334,C,89.99651142508286,91.28205128205128,89.59478021978022,0.38323544342405896,virtual_sensor_estimate,Intervals are operational confidence bands; conformal calibration reports empirical coverage and sharpness without claiming perfect probabilistic calibration.
supply_temperature,95%,raw_ensemble_residual,1.96,1.7171973033209567,7.436455218843872,C,98.40397697540556,98.58974358974359,98.3459249084249,0.3832354434240589,virtual_sensor_estimate,Intervals are operational confidence bands; conformal calibration reports empirical coverage and sharpness without claiming perfect probabilistic calibration.
supply_temperature,95%,conformal_calibrated,1.3519779304330177,1.184496355249503,5.129552722719567,C,94.99825571254142,96.0989010989011,94.65430402930403,0.38323544342405885,virtual_sensor_estimate,Intervals are operational confidence bands; conformal calibration reports empirical coverage and sharpness without claiming perfect probabilistic calibration.
return_temperature,80%,raw_ensemble_residual,1.2816,4.302564438553578,3.9537857796795017,C,84.3886272457701,95.58608058608058,80.88942307692307,-0.034629690539306666,virtual_sensor_estimate,Intervals are operational confidence bands; conformal calibration reports empirical coverage and sharpness without claiming perfect probabilistic calibration.
return_temperature,80%,conformal_calibrated,1.1770992268285518,3.951736324907489,3.6313968354451185,C,79.99738356881214,92.32600732600733,76.14468864468864,-0.034629690539306764,virtual_sensor_estimate,Intervals are operational confidence bands; conformal calibration reports empirical coverage and sharpness without claiming perfect probabilistic calibration.
return_temperature,90%,raw_ensemble_residual,1.6449,5.522228655568648,5.074580390913555,C,93.09262166405023,98.9010989010989,91.27747252747253,-0.03462969053930669,virtual_sensor_estimate,Intervals are operational confidence bands; conformal calibration reports empirical coverage and sharpness without claiming perfect probabilistic calibration.
return_temperature,90%,conformal_calibrated,1.4500575434707008,4.868107069595347,4.473483844484588,C,89.99651142508286,97.65567765567765,87.60302197802197,-0.03462969053930667,virtual_sensor_estimate,Intervals are operational confidence bands; conformal calibration reports empirical coverage and sharpness without claiming perfect probabilistic calibration.
