verification,status,value,threshold_or_requirement,evidence,limitation
Analytical advection,PASS,0.0033420605037326402,RMSE < 0.03,isolated first-order upwind transport kernel,
Analytical advection-loss,PASS,0.003205683612677408,RMSE < 0.03,isolated transport-loss kernel,
Hydraulic analytical solution,PASS,3.552713678800501e-15,max error < 1e-9 m,reduced quadratic-drop/linear-head relation; S state,
Energy/storage closure,PASS,0.0,algebraic error < 1e-6 W,implementation identity including storage; not zero-residual field validation,
Manufactured solution,PASS,1.970645868709653e-15,PDE residual < 1e-12,analytical manufactured advection-loss field,
Grid convergence,PASS,Ts L2=0.05571 C; loss=0.00375%,Ts L2 < 0.2 C and loss < 1%,"coordinated dx/dt refinement: 2000 m/1800 s, 1000 m/900 s, 500 m/450 s",
Independent solver comparison,PASS,0.010440238441919141,supply-field RMSE < 0.2 C,RK45 method-of-lines versus explicit substepped simulator for constant boundaries,
Cross-estimator audit,PASS,Gaussian observer + four repeated neural models,correct method names and finite metrics,observer uses static Gaussian conditioning rather than sequential forecast-update filtering,
Locked later replay,PASS,return RMSE=1.0773 C,finite and no retuning,later measured return; distributed fields remain C/S,
Cross-window/layout audit,PASS,reported without universal-rank claim,second window plus layout evidence,fixed-checkpoint temporal transfer and separately trained layout sensitivity,
Causality/leakage audit,PASS,12/12 checks pass,all proxy and full-state checks pass,"future perturbation invariance of alpha, q, Ts, Tr, H, heat loss, and delivered heat",
