substation_id,variable,estimator,RMSE_C,MAE_C,bias_C,alpha_selected_on_validation,training_samples,validation_samples,test_samples,test_start,test_end,withheld_target_temperature_used_as_feature,target_conditioned_order_filter_used,state_type,safe_claim
L12,supply_temp_C,spatial interpolation,3.5045594173695473,2.1134661545847333,0.4201072171547445,,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L12,supply_temp_C,chronological multi-station ridge,3.7710475888168875,2.866575863684989,0.05492449998513101,100.0,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L12,return_temp_C,spatial interpolation,2.427142798342563,1.6628180508881423,-0.6955592894863177,,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L12,return_temp_C,chronological multi-station ridge,2.794140548887453,2.0803303746586987,0.19047160840104896,1000.0,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L17,supply_temp_C,spatial interpolation,10.37068854941456,7.510209633541366,-6.53442150744119,,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L17,supply_temp_C,chronological multi-station ridge,4.867161601943739,3.3083253983763963,0.5810492727604673,0.01,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L17,return_temp_C,spatial interpolation,3.512734645365374,2.8927348375740114,0.11477036325812133,,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L17,return_temp_C,chronological multi-station ridge,2.5814479568096313,1.9306467118903323,-1.3349843788358913,1000.0,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L22,supply_temp_C,spatial interpolation,17.19323242321191,12.30812930068811,11.600176028164507,,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L22,supply_temp_C,chronological multi-station ridge,8.404651070958215,6.23590919063924,1.7446617160155864,10.0,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L22,return_temp_C,spatial interpolation,4.103446127734555,3.5074571931509038,0.2630340854536727,,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L22,return_temp_C,chronological multi-station ridge,2.4728911610499633,1.8482325868417686,-1.012459136300107,10.0,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L4,supply_temp_C,spatial interpolation,5.9796787413084225,3.859705552888462,-2.2553208513362137,,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L4,supply_temp_C,chronological multi-station ridge,7.43927010676145,5.289159884953303,2.803073806107113,1000.0,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L4,return_temp_C,spatial interpolation,2.2546550412639212,1.5868458953432547,-0.6908305328852616,,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
L4,return_temp_C,chronological multi-station ridge,4.010036078678527,2.9467182333188884,1.5066540961990253,1000.0,18745,6249,6249,2024-02-11T22:00:00+00:00,2024-04-04T11:52:00+00:00,False,False,real_measured_node,"Chronological measured-substation temperature withholding; no pressure/head, flow, heat-loss, or internal-pipe validation."
