relative_path,substation_id,sha256,selected_for_validation,duplicate_of,file_bytes
data\raw\xai4heat\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L12.csv,L12,70dd429fb19f7bab67a6b5275563d5626f732e1445fb6a9593c39d1a611b531d,True,,1955072
data\raw\xai4heat\xai4heat_data_package\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L12.csv,L12,70dd429fb19f7bab67a6b5275563d5626f732e1445fb6a9593c39d1a611b531d,False,data\raw\xai4heat\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L12.csv,1955072
data\raw\xai4heat\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L17.csv,L17,8d8b9c314824fccf127c6e5a18ecb99924f176d50e262489ee965bdf39766f58,True,,2872548
data\raw\xai4heat\xai4heat_data_package\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L17.csv,L17,8d8b9c314824fccf127c6e5a18ecb99924f176d50e262489ee965bdf39766f58,False,data\raw\xai4heat\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L17.csv,2872548
data\raw\xai4heat\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L22.csv,L22,2bf4e33ad0693714dc6c2da0ed80c2afed3fad6e98df30343b92e8a04effde3a,True,,1938786
data\raw\xai4heat\xai4heat_data_package\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L22.csv,L22,2bf4e33ad0693714dc6c2da0ed80c2afed3fad6e98df30343b92e8a04effde3a,False,data\raw\xai4heat\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L22.csv,1938786
data\raw\xai4heat\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L4.csv,L4,a8dfe7272e56aa02ef32ac73a0f3670d2174b71ed5f31924018c10080916c091,True,,2836215
data\raw\xai4heat\xai4heat_data_package\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L4.csv,L4,a8dfe7272e56aa02ef32ac73a0f3670d2174b71ed5f31924018c10080916c091,False,data\raw\xai4heat\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L4.csv,2836215
data\raw\xai4heat\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L8.csv,L8,dc4c133133311893dbfdc4506596ae79399e0300488bcac5acc0450b18cf5597,True,,1964552
data\raw\xai4heat\xai4heat_data_package\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L8.csv,L8,dc4c133133311893dbfdc4506596ae79399e0300488bcac5acc0450b18cf5597,False,data\raw\xai4heat\xai4heat_project_ready\data\raw\xai4heat\xai4heat_scada_L8.csv,1964552
